player_name,ath__athleticism_score,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq,dominance__cpm,position,ath__athleticism_source
Nic Claxton,93.27,83,215,86.5,568,0.568661972,0.336267606,0.058098592,0.014084507,0.022887324,0.036971831,0.904929577,0.715170279,0.363636364,0.25,0.230769231,1882,4.5,0.45,0,0.235611823,0.9,1.4,4.8,2.2,16.9,5.2,10.6,0,24.5,0,-0.6,C,imputed
Norman Powell,92.24,75,215,82.75,945,0.26031746,0.205291005,0.081481481,0.06984127,0.37989418,0.44973545,0.465608466,0.650406504,0.363636364,0.393939394,0.426183844,1958,2.3,0.23,70,0.464299622,6.8,-0.2,6.4,18.8,0,0,23.5,10,1.7,9.8,1.6,G,measured
Ochai Agbaji,91.19,77,215,82.25,534,0.413857678,0.082397004,0.029962547,0.269662921,0.20411985,0.473782772,0.496254682,0.656108597,0.375,0.409722222,0.385321101,1739,3,0.3,55.5,0.176401802,1.9,0,0,5.3,4.3,0,32,6.9,9.7,3.4,-1.5,F-G,measured
Patrick Williams,85.83,79,215,83,516,0.236434109,0.153100775,0.083333333,0.118217054,0.408914729,0.527131783,0.389534884,0.5,0.302325581,0.37704918,0.345971564,1576,3.7,0.37,52.5,0.231600535,5.8,-0.2,3.6,11.1,2.2,3.9,38,3.1,3,2.6,-2.1,G,imputed
Pelle Larsson,86.95,78,215,80,203,0.39408867,0.123152709,0.014778325,0.162561576,0.305418719,0.467980296,0.517241379,0.6,0,0.393939394,0.306451613,782,5.3,0.53,46.4,0.192409734,2.9,0.3,0,7.1,0,0,38.6,3.9,10.2,4.7,-1.5,F,measured
Saddiq Bey,84.81,79,215,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.51612903,0,5,-0.041935484,0,0,0,0,0,0,0,0,-0.483870968,G-F,imputed
Santi Aldama,95.17,84,215,83,648,0.240740741,0.206790123,0.049382716,0.138888889,0.358024691,0.49691358,0.447530864,0.730769231,0.40625,0.4,0.362068966,1660,5.9,0.59,52.4,0.34147795,7.3,-0.1,2.4,0,3.4,0,42.1,1.6,7,2.6,0.8,F-C,imputed
Spencer Dinwiddie,80.625,77,215,80.25,682,0.17888563,0.244868035,0.098240469,0.092375367,0.385630499,0.478005865,0.423753666,0.581967213,0.402985075,0.412698413,0.315589354,2136,7.6,0.76,59.2,0.377154335,6.7,-1,22.8,26.2,0,2.3,18.8,2.6,0,0,-1.2,G,imputed
Stephon Castle,81.97,78,215,81,988,0.37145749,0.189271255,0.102226721,0.050607287,0.282388664,0.332995951,0.560728745,0.626702997,0.336633663,0.34,0.279569892,2162,5.9,0.59,45,0.547065202,0.6,-1.9,9.8,23.7,1.6,1,20.5,6.2,3.8,1.2,-1.9,G,measured
Tari Eason,85.83,80,215,86,559,0.431127013,0.193202147,0.046511628,0.127012522,0.200357782,0.327370304,0.624329159,0.668049793,0.307692308,0.366197183,0.330357143,1420,2.5,0.25,53.2,0.291379142,3.1,2.4,2.7,4.2,2.4,0,32,2.4,8.8,1.5,2.9,F,imputed
