player_name,position,minutes_played,cluster_roles_k,role_label,umap_x,umap_y,cat_stature,cat_athleticism,cat_shot_selection,cat_shooting,cat_usage,cat_passing,cat_defense,cat_playstyle,cat_portability,cat_dominance
Yuki Kawamura,G,,5,Low-Usage Utility Connectors,2.8433847,-5.2588873,0.0018726591760299626,0.25842696629213485,0.4382802746566791,0.6207865168539326,0.06460674157303371,0.647003745318352,0.3642322097378277,0.586376404494382,0.48314606741573035,0.4307116104868914
AJ Johnson,G,639.0,9,Combo Playmaking Initiators,6.568638,-2.8244154,0.2072409488139825,0.0149812734082397,0.44030898876404495,0.34363295880149813,0.548689138576779,0.7659176029962547,0.0898876404494382,0.32713014981273403,0.1947565543071161,0.008426966292134831
Trae Young,G,2739.0,10,On-Ball Offensive Engines,8.523748,0.30197763,0.020599250936329586,0.25842696629213485,0.5738920099875157,0.9363295880149812,0.9925093632958801,0.9850187265917603,0.008426966292134831,0.4905196629213483,0.7696629213483146,0.7865168539325843
Isaiah Joe,G,1604.0,10,On-Ball Offensive Engines,6.935438,-0.23695539,0.11454431960049938,0.25842696629213485,0.6027621722846441,0.9419475655430711,0.5168539325842697,0.3801498127340824,0.5056179775280899,0.5939840823970037,0.9569288389513109,0.8642322097378277
Bones Hyland,G,239.0,2,On-Ball Shot Creation Engines,6.9885683,-2.1167312,0.1622971285892634,0.25842696629213485,0.49446004993757803,0.6207865168539326,0.9307116104868914,0.3801498127340824,0.3642322097378277,0.453183520599251,0.6760299625468165,0.4307116104868914
Ja Morant,F,1519.0,10,On-Ball Offensive Engines,6.520393,-1.7006748,0.06585518102372034,0.25842696629213485,0.5534488139825219,0.6863295880149812,0.9868913857677902,0.8820224719101124,0.4344569288389513,0.4774110486891386,0.21722846441947566,0.9325842696629213
Chris Paul,G,2292.0,10,On-Ball Offensive Engines,7.3310375,0.108256035,0.024968789013732836,0.11610486891385768,0.5973782771535581,0.9250936329588015,0.7696629213483146,0.99812734082397,0.7153558052434457,0.42064606741573035,0.9831460674157303,0.8192883895131086
Dennis Schroder,G,2105.0,2,On-Ball Shot Creation Engines,7.7103934,-2.2726576,0.08957553058676654,0.02247191011235955,0.5645287141073658,0.7949438202247191,0.8558052434456929,0.9213483146067416,0.18820224719101122,0.5511470037453183,0.6292134831460674,0.25
Keon Ellis,F,1948.0,0,On-Ball Defensive Disruptors,6.6547866,-0.2578758,0.1772784019975031,0.003745318352059925,0.6147003745318352,0.9129213483146067,0.2340823970037453,0.31741573033707865,0.9578651685393258,0.4801029962546816,0.8586142322097379,0.9073033707865169
Mike Conley,G,1756.0,10,On-Ball Offensive Engines,6.91396,0.06392473,0.04993757802746567,0.4419475655430712,0.5279338327091136,0.949438202247191,0.6591760299625468,0.9812734082397003,0.8267790262172284,0.5416666666666666,0.9962546816479401,0.8398876404494382
Rob Dillingham,G,516.0,9,Combo Playmaking Initiators,6.55167,-2.8958538,0.03838951310861423,0.25842696629213485,0.5176342072409488,0.1760299625468165,0.8670411985018727,0.8651685393258427,0.07584269662921349,0.43586142322097376,0.025280898876404494,0.013108614232209739
Tre Mann,G,319.0,9,Combo Playmaking Initiators,6.792375,-2.2936962,0.0686641697877653,0.25842696629213485,0.5371410736579275,0.6207865168539326,0.8764044943820225,0.45880149812734083,0.3642322097378277,0.44955524344569286,0.32209737827715357,0.4307116104868914
A.J. Lawson,G,486.0,11,Low-Impact Connectors,4.888578,-4.3967714,0.3089887640449438,0.25842696629213485,0.44623907615480646,0.6207865168539326,0.6104868913857678,0.2153558052434457,0.3642322097378277,0.3349719101123596,0.12734082397003746,0.4307116104868914
Jose Alvarado,G,1366.0,0,On-Ball Defensive Disruptors,6.659641,-0.641728,0.013420724094881398,0.25842696629213485,0.5288701622971286,0.7837078651685393,0.8239700374531835,0.9316479400749064,0.7153558052434457,0.5172050561797753,0.48314606741573035,0.7322097378277154
Craig Porter Jr.,G,513.0,9,Combo Playmaking Initiators,6.6589503,-2.7968469,0.0387016229712859,0.25842696629213485,0.5317571785268415,0.3258426966292135,0.6161048689138576,0.8071161048689138,0.24719101123595505,0.49461610486891383,0.24719101123595505,0.17228464419475656
Dejounte Murray,G,1012.0,9,Combo Playmaking Initiators,6.7754583,-2.6157386,0.2350187265917603,0.25842696629213485,0.47893258426966284,0.5112359550561798,0.951310861423221,0.9063670411985019,0.16760299625468164,0.46477059925093633,0.21722846441947566,0.2743445692883895
Ja'Kobe Walter,G-F,1103.0,11,Low-Impact Connectors,5.6306057,-4.0783954,0.2350187265917603,0.3913857677902622,0.5138888888888888,0.5374531835205992,0.5112359550561798,0.2153558052434457,0.22752808988764045,0.5471676029962547,0.08426966292134831,0.12640449438202248
Jamaree Bouyea,F,,5,Low-Usage Utility Connectors,2.8266888,-4.9104714,0.06367041198501873,0.25842696629213485,0.3964575530586767,0.41292134831460675,0.06460674157303371,0.41947565543071164,0.5749063670411985,0.588249063670412,0.48314606741573035,0.5702247191011236
LaMelo Ball,F,1505.0,10,On-Ball Offensive Engines,8.513217,0.1523504,0.284956304619226,0.25842696629213485,0.5131086142322098,0.9382022471910112,0.99812734082397,0.8820224719101124,0.05149812734082397,0.5105337078651685,0.6601123595505618,0.8192883895131086
Malaki Branham,F,427.0,0,On-Ball Defensive Disruptors,6.4240203,-1.332472,0.2350187265917603,0.10299625468164794,0.5969101123595505,0.41292134831460675,0.7865168539325843,0.24812734082397003,0.5749063670411985,0.588249063670412,0.5636704119850188,0.5702247191011236
