player_name,position,ath__athleticism_score,ath__athleticism_source,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq
Andrew Nembhard,G-F,73.89,measured,76,191.0,77.75,539,0.220779221,0.228200371,0.226345083,0.087198516,0.235621521,0.322820037,0.448979592,0.697478992,0.459016393,0.29787234,0.291338583,1881,8.0,0.8,51.8,0.328530257926178,6.0,0.6,6.2,28.3,0.0,0.0,26.2,5.2,2.8,1.7
Andrew Wiggins,F,85.83,imputed,78,197.0,84.0,839,0.231227652,0.241954708,0.112038141,0.071513707,0.343265793,0.414779499,0.47318236,0.577319588,0.414893617,0.416666667,0.364583333,1842,3.8,0.38,58.8,0.4506774519171833,3.7,-0.4,7.3500000000000005,25.2,0.0,7.6,21.7,6.85,6.1,4.35
Anfernee Simons,G,80.5,measured,75,200.0,81.25,1125,0.166222222,0.182222222,0.124444444,0.052444444,0.470222222,0.522666667,0.348444444,0.614973262,0.471428571,0.355932203,0.366729679,2292,5.5,0.55,78.4,0.5522892563475452,6.4,-2.4,15.3,36.9,0.0,0.0,16.2,5.1,0.0,6.0
Anthony Black,G,89.32,measured,79,200.0,79.5,620,0.346774194,0.248387097,0.090322581,0.125806452,0.187096774,0.312903226,0.59516129,0.576744186,0.303571429,0.397435897,0.267241379,1887,5.3,0.53,50.6,0.3653454609030609,2.6,1.4,4.1,31.1,1.9,0.0,22.2,5.4,3.9,1.4
Anthony Davis,F-C,95.17,imputed,82,253.0,89.5,910,0.36043956,0.298901099,0.204395604,0.012087912,0.124175824,0.136263736,0.659340659,0.722560976,0.424731183,0.090909091,0.300884956,1706,4.2,0.42,48.2,0.6083652862945091,6.2,3.0,12.25,9.0,19.65,12.55,7.8,1.5,10.0,3.2
Anthony Edwards,G,80.625,imputed,76,225.0,81.0,1612,0.225186104,0.141439206,0.130272953,0.062034739,0.434863524,0.496898263,0.36662531,0.633608815,0.376190476,0.43,0.395149786,2871,4.5,0.45,75.9,0.7087437472924237,8.2,0.1,19.6,33.3,0.7,1.7,11.0,6.8,1.4,5.7
Anthony Gill,F,85.83,imputed,79,230.0,83.0,88,0.363636364,0.261363636,0.022727273,0.147727273,0.204545455,0.352272727,0.625,0.625,0.0,0.307692308,0.333333333,397,2.3,0.23,56.07222222222222,0.1052388400695739,0.9,0.1448598130841121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anton Watson,F,85.83,imputed,80,225.0,84.0,9,0.444444444,0.333333333,0.111111111,0.0,0.111111111,0.111111111,0.777777778,0.75,1.0,0.0,0.0,0,0.0,0.0,56.07222222222222,0.0,5.0,0.1448598130841121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Reeves,G,75.99,measured,78,195.0,82.0,248,0.221774194,0.173387097,0.084677419,0.189516129,0.326612903,0.516129032,0.39516129,0.581818182,0.380952381,0.340425532,0.432098765,660,2.5,0.25,64.0,0.2768743963807351,5.3,-1.5,5.1,10.9,0.0,0.0,28.7,10.2,6.5,6.1
Ariel Hukporti,C,82.63,measured,84,246.0,86.0,31,0.741935484,0.258064516,0.0,0.0,0.0,0.0,1.0,0.739130435,0.0,0.0,0.0,217,0.6,0.06,39.917142857142856,0.0750498723833991,1.2,0.9617647058823532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ausar Thompson,G-F,84.81,imputed,79,205.0,84.0,460,0.613043478,0.254347826,0.026086957,0.056521739,0.041304348,0.097826087,0.867391304,0.673758865,0.333333333,0.269230769,0.210526316,1328,4.6,0.46,31.6,0.3074390985408334,0.4,2.6,4.5,6.1,5.6,2.0,14.4,3.3,17.5,0.0
Austin Reaves,G,71.35,measured,77,197.0,78.25,1037,0.193828351,0.232401157,0.06171649,0.066538091,0.43876567,0.505303761,0.426229508,0.691542289,0.40625,0.463768116,0.369230769,2550,7.1,0.71,74.4,0.5660036645036631,8.4,-1.0,8.8,30.1,2.2,0.0,20.4,7.4,1.7,6.2
Ayo Dosunmu,G,74.42,measured,77,200.0,82.25,449,0.423162584,0.138084633,0.017817372,0.171492205,0.249443207,0.420935412,0.561247216,0.663157895,0.25,0.350649351,0.3125,1394,7.5,0.75,54.4,0.3206034076754562,3.8,-1.0,0.0,19.1,0.0,0.0,29.5,5.1,3.8,0.0
Bam Adebayo,C-F,89.695,imputed,81,255.0,86.75,1113,0.239892183,0.398921833,0.16262354,0.059299191,0.139263252,0.198562444,0.638814016,0.700374532,0.453038674,0.454545455,0.316129032,2674,5.8,0.58,51.6,0.4798781483982423,6.6,2.1,11.8,2.7,17.9,12.9,14.4,0.0,13.2,2.4
Baylor Scheierman,G,77.36,measured,78,205.0,80.25,110,0.109090909,0.090909091,0.054545455,0.227272727,0.518181818,0.745454545,0.2,0.666666667,0.5,0.32,0.315789474,384,5.4,0.54,59.91,0.1963169736664831,3.5,-0.1460526315789473,0.0,9.4,0.0,0.0,37.5,7.8,0.0,10.2
Ben Sheppard,G,79.32,measured,78,190.0,79.75,287,0.209059233,0.06271777,0.034843206,0.411149826,0.282229965,0.693379791,0.271777003,0.683333333,0.5,0.338983051,0.345679012,1228,5.3,0.53,61.6,0.1027325802040927,5.4,-0.4,0.0,3.8,0.0,0.0,39.0,3.5,7.2,4.1
Ben Simmons,G-F,84.81,imputed,82,240.0,84.5,223,0.488789238,0.466367713,0.044843049,0.0,0.0,0.0,0.955156951,0.605504587,0.2,0.0,0.0,1120,10.0,1.0,40.3,0.2663129109963104,5.8,1.1,9.6,14.4,5.2,8.9,3.7,0.0,16.3,0.0
Bennedict Mathurin,G-F,84.81,imputed,77,210.0,81.0,853,0.344665885,0.189917937,0.127784291,0.052754982,0.281359906,0.334114889,0.534583822,0.615646259,0.366972477,0.4,0.333333333,2149,2.2,0.22,62.2,0.3596950452196544,2.2,-1.5,10.5,23.0,0.0,0.0,13.6,3.9,6.3,5.1
Bilal Coulibaly,G,80.625,imputed,79,195.0,86.5,624,0.317307692,0.224358974,0.099358974,0.08974359,0.269230769,0.358974359,0.541666667,0.702020202,0.258064516,0.339285714,0.261904762,1948,4.8,0.48,46.2,0.2821338306610522,1.2,-0.8,4.8,25.7,1.3,0.0,23.8,5.0,4.1,1.8
Bismack Biyombo,C,93.27,imputed,80,255.0,90.0,114,0.51754386,0.447368421,0.035087719,0.0,0.0,0.0,0.964912281,0.711864407,0.25,0.0,0.0,528,2.9,0.29,10.2,0.1049368570986145,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Wesley,G,78.11,measured,75,190.0,81.25,186,0.489247312,0.123655914,0.075268817,0.112903226,0.198924731,0.311827957,0.612903226,0.593406593,0.142857143,0.333333333,0.27027027,683,7.3,0.73,38.1,0.3245106470537062,0.7,0.3,7.1,21.2,0.0,0.0,27.9,6.3,4.1,0.0
Bobby Portis,F,83.85,measured,82,250.0,86.0,595,0.21512605,0.2,0.285714286,0.080672269,0.218487395,0.299159664,0.41512605,0.65625,0.417647059,0.4375,0.338461538,1244,3.9,0.39,62.2,0.4193328254374239,6.5,-0.1,6.0,0.0,15.8,23.8,20.2,0.0,8.5,0.0
Bobi Klintman,F,78.25,measured,81,225.0,83.0,10,0.2,0.2,0.1,0.2,0.3,0.5,0.4,1.0,1.0,0.5,0.333333333,0,0.0,0.0,56.07222222222222,0.0,5.0,0.1448598130841121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogdan Bogdanovic,G,80.625,imputed,77,225.0,83.0,492,0.138211382,0.166666667,0.107723577,0.12601626,0.459349593,0.585365854,0.304878049,0.544117647,0.471698113,0.370967742,0.362831858,1348,5.2,0.52,70.0,0.3304089826231537,7.6,0.0,4.7,17.65,8.0,0.0,24.5,8.55,0.0,8.600000000000001
Bol Bol,C-F,89.695,imputed,87,220.0,91.0,183,0.114754098,0.169398907,0.207650273,0.278688525,0.229508197,0.508196721,0.284153005,0.80952381,0.657894737,0.352941176,0.333333333,448,2.0,0.2,47.86923076923077,0.3171489465891507,6.1,1.3076923076923077,0.0,0.0,5.6,0.0,46.5,0.0,11.2,0.0
Bones Hyland,G,80.625,imputed,74,169.0,81.5,118,0.127118644,0.06779661,0.110169492,0.06779661,0.618644068,0.686440678,0.194915254,0.533333333,0.384615385,0.5,0.383561644,239,4.1,0.41,59.91,0.6191186178066839,6.0,-0.1460526315789473,18.8,30.9,0.0,0.0,15.4,6.7,0.0,0.0
Bradley Beal,G,88.65,measured,76,207.0,80.0,694,0.191642651,0.236311239,0.191642651,0.125360231,0.255043228,0.380403458,0.42795389,0.736842105,0.421052632,0.413793103,0.372881356,1702,5.0,0.5,63.5,0.4422222295495298,5.2,-1.5,6.7,25.1,2.6,0.0,27.3,6.3,5.4,4.8
