player_name,ath__athleticism_score,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq,dominance__cpm,position,ath__athleticism_source,pca1,pca2,pca3,cluster_k9,umap1,umap2,size_score,playstyle_variety,playstyle_variety_raw,playstyle_variety_score,size_height_pct,size_wing_pct,shooting_score,creation_score,passing_score,defense_score,portability_score,unicorn_score,unicorn_percentile,is_unicorn,dominance_score,stature__height_inches_pct,stature__wingspan_in_pct,shoot__quality_pct,usage__creation_score_pct,pass__passer_rating_pct,defense__crafted_dpm_pct,portability__score_pct,dominance__cpm_pct,playstyle_variety_pct
Yuki Kawamura,80.625,68,154,71.0,30,0.066666667,0.066666667,0.1,0.1,0.666666667,0.766666667,0.133333333,0.5,0.666666667,0.333333333,0.3,0,5.2796875000000005,0.52796875,59.91,0.0,5.0,-0.146052632,5.752131782965116,19.450581395348838,0.0,0.0,25.488372093023255,5.338953488372093,0.0,0.0,-0.125,G,imputed,-4.811504325581865,-2.2052693034466246,-2.40219516162636,3,18.769796,-9.34858,0.0018726591760299626,4,4,0.6713483146067416,0.0018726591760299626,0.0018726591760299626,0.6207865168539326,0.06460674157303371,0.647003745318352,0.3642322097378277,0.48314606741573035,0.33117977528089887,0.0599250936329588,False,0.4307116104868914,0.0018726591760299626,0.0018726591760299626,0.6207865168539326,0.06460674157303371,0.647003745318352,0.3642322097378277,0.48314606741573035,0.4307116104868914,0.6713483146067416
AJ Johnson,70.22,77,160,80.5,213,0.370892019,0.183098592,0.023474178,0.056338028,0.356807512,0.41314554,0.55399061,0.569620253,0.2,0.416666667,0.25,639,5.9,0.59,55.1,0.284863436,1.9,-1.3,9.5,25.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.6,G,measured,-1.5932926955444981,0.4524904608306209,-4.2669093805968155,3,19.172413,-8.070187,0.3089887640449438,2,2,0.09363295880149813,0.3155430711610487,0.30243445692883897,0.34363295880149813,0.548689138576779,0.7659176029962547,0.0898876404494382,0.1947565543071161,0.34545880149812735,0.09363295880149813,False,0.008426966292134831,0.3155430711610487,0.30243445692883897,0.34363295880149813,0.548689138576779,0.7659176029962547,0.0898876404494382,0.1947565543071161,0.008426966292134831,0.09363295880149813
Trae Young,80.625,73,164,75.0,1376,0.159156977,0.261627907,0.112645349,0.037063953,0.425872093,0.462936047,0.420784884,0.525114155,0.451612903,0.431372549,0.332764505,2739,9.1,0.91,73.0,0.93485676,6.6,-2.6,10.3,47.5,0.0,0.0,5.9,6.9,0.0,0.0,0.9,G,imputed,-5.537130900629075,6.071926096699691,-1.8114833643699808,7,16.367361,-7.1340423,0.028089887640449437,4,4,0.6713483146067416,0.03464419475655431,0.02153558052434457,0.9363295880149812,0.9925093632958801,0.9850187265917603,0.008426966292134831,0.7696629213483146,0.636376404494382,0.8408239700374532,False,0.7865168539325843,0.03464419475655431,0.02153558052434457,0.9363295880149812,0.9925093632958801,0.9850187265917603,0.008426966292134831,0.7696629213483146,0.7865168539325843,0.6713483146067416
Isaiah Joe,80.625,75,165,79.5,588,0.085034014,0.057823129,0.06462585,0.151360544,0.641156463,0.792517007,0.142857143,0.76,0.394736842,0.561797753,0.376657825,1604,4.1,0.41,73.3,0.269895551,9.2,0.1,0.0,0.0,9.4,0.0,32.4,16.2,0.0,8.0,1.7,G,imputed,-4.644705335573088,-1.258289172918844,2.63546204012859,1,16.555918,-11.907665,0.16807116104868913,5,5,0.9054307116104869,0.13670411985018727,0.199438202247191,0.9419475655430711,0.5168539325842697,0.3801498127340824,0.5056179775280899,0.9569288389513109,0.5615168539325842,0.7153558052434457,False,0.8642322097378277,0.13670411985018727,0.199438202247191,0.9419475655430711,0.5168539325842697,0.3801498127340824,0.5056179775280899,0.9569288389513109,0.8642322097378277,0.9054307116104869
Bones Hyland,80.625,74,169,81.5,118,0.127118644,0.06779661,0.110169492,0.06779661,0.618644068,0.686440678,0.194915254,0.533333333,0.384615385,0.5,0.383561644,239,4.1,0.41,59.91,0.619118618,6.0,-0.146052632,18.8,30.9,0.0,0.0,15.4,6.7,0.0,0.0,-0.125,G,imputed,-4.283047655987048,0.6687356115792468,-1.166448461010392,3,18.276499,-8.148464,0.2387640449438202,4,4,0.6713483146067416,0.07677902621722846,0.40074906367041196,0.6207865168539326,0.9307116104868914,0.3801498127340824,0.3642322097378277,0.6760299625468165,0.5213951310861423,0.6385767790262172,False,0.4307116104868914,0.07677902621722846,0.40074906367041196,0.6207865168539326,0.9307116104868914,0.3801498127340824,0.3642322097378277,0.6760299625468165,0.4307116104868914,0.6713483146067416
Ja Morant,80.625,74,174,78.0,889,0.293588301,0.310461192,0.075365579,0.059617548,0.255343082,0.31496063,0.604049494,0.62835249,0.47761194,0.320754717,0.31277533,1519,7.1,0.71,60.0,0.862024622,2.1,-0.1,17.8,28.5,0.0,0.0,13.7,0.0,0.0,1.7,2.7,F,imputed,-2.173401976552765,4.901131532542017,-2.1852457850337577,7,16.765345,-7.1981163,0.09316479400749064,3,3,0.3267790262172285,0.07677902621722846,0.10955056179775281,0.6863295880149812,0.9868913857677902,0.8820224719101124,0.4344569288389513,0.21722846441947566,0.6274812734082397,0.8183520599250936,False,0.9325842696629213,0.07677902621722846,0.10955056179775281,0.6863295880149812,0.9868913857677902,0.8820224719101124,0.4344569288389513,0.21722846441947566,0.9325842696629213,0.3267790262172285
Chris Paul,78.83,72,175,76.0,583,0.02915952,0.111492281,0.222984563,0.084048027,0.548885077,0.632933105,0.140651801,0.823529412,0.469230769,0.346938776,0.384375,2292,10.0,1.0,72.4,0.410869673,9.4,0.7,12.5,38.9,0.0,0.0,19.5,4.0,0.0,0.0,1.3,G,measured,-5.673144267324288,3.748853076025948,-0.534388768161232,7,17.519289,-8.075979,0.02902621722846442,3,3,0.3267790262172285,0.011235955056179775,0.04681647940074907,0.9250936329588015,0.7696629213483146,0.99812734082397,0.7153558052434457,0.9831460674157303,0.6618913857677903,0.8745318352059925,False,0.8192883895131086,0.011235955056179775,0.04681647940074907,0.9250936329588015,0.7696629213483146,0.99812734082397,0.7153558052434457,0.9831460674157303,0.8192883895131086,0.3267790262172285
Dennis Schroder,71.18,73,175,79.75,827,0.187424426,0.195888755,0.166868198,0.043530834,0.401451028,0.444981862,0.38331318,0.561290323,0.463768116,0.5,0.328313253,2105,7.6,0.76,64.0,0.51557302,5.7,-0.7,12.96666667,38.5,0.0,0.0,19.8,8.4,0.0,0.0,-1.0,G,measured,-4.741596129149296,3.581805663589124,-1.8235858146700452,7,17.254885,-7.613444,0.12593632958801498,4,4,0.6713483146067416,0.03464419475655431,0.21722846441947566,0.7949438202247191,0.8558052434456929,0.9213483146067416,0.18820224719101122,0.6292134831460674,0.5353932584269663,0.6704119850187266,False,0.25,0.03464419475655431,0.21722846441947566,0.7949438202247191,0.8558052434456929,0.9213483146067416,0.18820224719101122,0.6292134831460674,0.25,0.6713483146067416
Keon Ellis,68.69,76,175,80.5,464,0.135775862,0.107758621,0.064655172,0.232758621,0.459051724,0.691810345,0.243534483,0.793650794,0.333333333,0.5,0.399061033,1948,3.7,0.37,71.8,0.139730666,7.6,2.3,0.0,6.5,0.0,0.0,43.6,6.0,3.0,0.0,2.2,F,measured,-3.2294404711814058,-1.5973761718608268,1.9934278989675738,1,16.502712,-9.705073,0.25749063670411987,3,3,0.3267790262172285,0.21254681647940074,0.30243445692883897,0.9129213483146067,0.2340823970037453,0.31741573033707865,0.9578651685393258,0.8586142322097379,0.528370786516854,0.6573033707865169,False,0.9073033707865169,0.21254681647940074,0.30243445692883897,0.9129213483146067,0.2340823970037453,0.31741573033707865,0.9578651685393258,0.8586142322097379,0.9073033707865169,0.3267790262172285
Mike Conley,83.92,73,175,77.75,468,0.11965812,0.16025641,0.057692308,0.188034188,0.472222222,0.66025641,0.27991453,0.535714286,0.185185185,0.5,0.375565611,1756,9.0,0.9,74.3,0.333142024,9.5,1.2,0.0,29.2,0.0,0.0,30.9,10.4,0.0,5.5,1.5,G,measured,-5.038784428051577,1.1060088486470734,-0.00399845055808438,3,17.51406,-8.560443,0.06647940074906367,4,4,0.6713483146067416,0.03464419475655431,0.09831460674157304,0.949438202247191,0.6591760299625468,0.9812734082397003,0.8267790262172284,0.9962546816479401,0.6793071161048688,0.8951310861423221,False,0.8398876404494382,0.03464419475655431,0.09831460674157304,0.949438202247191,0.6591760299625468,0.9812734082397003,0.8267790262172284,0.9962546816479401,0.8398876404494382,0.6713483146067416
Rob Dillingham,80.625,74,175,75.0,211,0.279620853,0.227488152,0.142180095,0.056872038,0.293838863,0.3507109,0.507109005,0.627118644,0.266666667,0.5,0.306451613,516,6.9,0.69,47.0,0.524261308,0.3,-1.5,10.7,35.9,0.0,0.0,20.7,4.8,0.0,0.0,-3.5,G,imputed,-2.8457310036861725,1.7139576567918227,-4.503179934184842,3,18.728613,-7.820974,0.04915730337078651,3,3,0.3267790262172285,0.07677902621722846,0.02153558052434457,0.1760299625468165,0.8670411985018727,0.8651685393258427,0.07584269662921349,0.025280898876404494,0.3577715355805244,0.11610486891385768,False,0.013108614232209739,0.07677902621722846,0.02153558052434457,0.1760299625468165,0.8670411985018727,0.8651685393258427,0.07584269662921349,0.025280898876404494,0.013108614232209739,0.3267790262172285
Tre Mann,80.625,75,178,76.0,161,0.322981366,0.198757764,0.105590062,0.093167702,0.279503106,0.372670807,0.52173913,0.442307692,0.411764706,0.4,0.4,319,4.2,0.42,59.91,0.54666241,3.2,-0.146052632,12.4,41.8,0.0,0.0,15.5,5.7,0.0,0.0,-0.125,G,imputed,-2.6066242375709443,1.4361196270134338,-3.130126043255191,3,18.511557,-8.055118,0.09176029962546817,4,4,0.6713483146067416,0.13670411985018727,0.04681647940074907,0.6207865168539326,0.8764044943820225,0.45880149812734083,0.3642322097378277,0.32209737827715357,0.4752340823970038,0.48314606741573035,False,0.4307116104868914,0.13670411985018727,0.04681647940074907,0.6207865168539326,0.8764044943820225,0.45880149812734083,0.3642322097378277,0.32209737827715357,0.4307116104868914,0.6713483146067416
A.J. Lawson,80.625,78,179,82.0,190,0.363157895,0.089473684,0.015789474,0.189473684,0.342105263,0.531578947,0.452631579,0.565217391,0.333333333,0.305555556,0.338461538,486,3.0,0.3,59.91,0.306501258,1.3,-0.146052632,0.0,6.5,0.0,0.0,0.0,5.6,9.9,0.0,-0.125,G,imputed,-0.29682206863797667,-1.754530534664643,-1.3014301625382652,2,20.07804,-8.920651,0.4508426966292135,3,3,0.3267790262172285,0.4438202247191011,0.45786516853932585,0.6207865168539326,0.6104868913857678,0.2153558052434457,0.3642322097378277,0.12734082397003746,0.4303838951310862,0.32209737827715357,False,0.4307116104868914,0.4438202247191011,0.45786516853932585,0.6207865168539326,0.6104868913857678,0.2153558052434457,0.3642322097378277,0.12734082397003746,0.4307116104868914,0.3267790262172285
Jose Alvarado,80.625,72,179,73.0,521,0.151631478,0.214971209,0.040307102,0.122840691,0.468330134,0.591170825,0.366602687,0.544303797,0.428571429,0.359375,0.360655738,1366,7.7,0.77,63.6,0.46494584,5.0,0.7,5.8,34.2,0.0,0.0,28.1,4.7,0.0,0.0,0.7,G,imputed,-4.073114211846066,1.5485225906260882,-1.766440737339423,3,18.001493,-8.355729,0.00749063670411985,3,3,0.3267790262172285,0.011235955056179775,0.003745318352059925,0.7837078651685393,0.8239700374531835,0.9316479400749064,0.7153558052434457,0.48314606741573035,0.6062734082397003,0.7883895131086143,False,0.7322097378277154,0.011235955056179775,0.003745318352059925,0.7837078651685393,0.8239700374531835,0.9316479400749064,0.7153558052434457,0.48314606741573035,0.7322097378277154,0.3267790262172285
Craig Porter Jr.,80.625,73,180,76.0,140,0.4,0.171428571,0.085714286,0.092857143,0.235714286,0.328571429,0.571428571,0.660714286,0.25,0.384615385,0.454545455,513,6.4,0.64,54.2,0.309452118,2.5,-0.4,0.0,33.3,0.0,0.0,18.2,6.8,6.3,0.0,-1.5,G,imputed,-2.0493641326886967,0.952727343396514,-3.525096783782313,3,19.153866,-8.029659,0.04073033707865169,5,5,0.9054307116104869,0.03464419475655431,0.04681647940074907,0.3258426966292135,0.6161048689138576,0.8071161048689138,0.24719101123595505,0.24719101123595505,0.39321161048689135,0.20786516853932585,False,0.17228464419475656,0.03464419475655431,0.04681647940074907,0.3258426966292135,0.6161048689138576,0.8071161048689138,0.24719101123595505,0.24719101123595505,0.17228464419475656,0.9054307116104869
