player_name,position,ath__athleticism_score,ath__athleticism_source,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality
Sandro Mamukelashvili,F-C,95.43,measured,81,240,85.25,281,0.298932384,0.103202847,0.024911032,0.12455516,0.444839858,0.569395018,0.402135231,0.761904762,0.571428571,0.285714286,0.4,681,3.6,0.36,59.4
Bub Carrington,G,80.625,imputed,76,190,80,748,0.122994652,0.14171123,0.191176471,0.084224599,0.45855615,0.542780749,0.264705882,0.532608696,0.475524476,0.333333333,0.341107872,2458,7.4,0.74,59.5
Jalen Williams,F,92.12,measured,77,211,86.25,1168,0.251712329,0.278253425,0.178938356,0.029965753,0.261130137,0.29109589,0.529965753,0.663265306,0.459330144,0.371428571,0.363934426,2237,6.4,0.64,59.5
Reed Sheppard,F,80.96,measured,74,185,75.25,239,0.10041841,0.158995816,0.146443515,0.10041841,0.493723849,0.594142259,0.259414226,0.625,0.314285714,0.25,0.355932203,654,4.9,0.49,59.7
Alex Caruso,G,80.625,imputed,77,186,78,314,0.347133758,0.079617834,0.031847134,0.200636943,0.340764331,0.541401274,0.426751592,0.642201835,0.2,0.412698413,0.317757009,1041,7,0.7,59.9
Rui Hachimura,F,85.83,imputed,80,230,86,576,0.326388889,0.168402778,0.076388889,0.190972222,0.237847222,0.428819444,0.494791667,0.712765957,0.454545455,0.445454545,0.386861314,1869,2.6,0.26,59.9
A.J. Lawson,G,80.625,imputed,78,179,82,190,0.363157895,0.089473684,0.015789474,0.189473684,0.342105263,0.531578947,0.452631579,0.565217391,0.333333333,0.305555556,0.338461538,486,3,0.3,59.91
Adam Flagler,G,81.44,measured,75,185,78,96,0.0625,0.083333333,0.104166667,0.09375,0.65625,0.75,0.145833333,0.666666667,0.5,0,0.222222222,203,2.8,0.28,59.91
Alex Ducas,G,80.625,imputed,78,220,81,30,0.133333333,0.1,0.066666667,0.3,0.4,0.7,0.233333333,0.25,0.5,0.555555556,0.416666667,125,1.8,0.18,59.91
Baylor Scheierman,G,77.36,measured,78,205,80.25,110,0.109090909,0.090909091,0.054545455,0.227272727,0.518181818,0.745454545,0.2,0.666666667,0.5,0.32,0.315789474,384,5.4,0.54,59.91
Bones Hyland,G,80.625,imputed,74,169,81.5,118,0.127118644,0.06779661,0.110169492,0.06779661,0.618644068,0.686440678,0.194915254,0.533333333,0.384615385,0.5,0.383561644,239,4.1,0.41,59.91
Brandon Boston,G,80.625,imputed,78,188,82.75,381,0.270341207,0.157480315,0.204724409,0.083989501,0.283464567,0.367454068,0.427821522,0.621359223,0.461538462,0.3125,0.361111111,0,0,0,59.91
Brandon Williams,G,80.625,imputed,74,190,79,188,0.425531915,0.175531915,0.079787234,0.069148936,0.239361702,0.308510638,0.60106383,0.6375,0.533333333,0.461538462,0.4,487,6,0.6,59.91
Bronny James,G,89.5,measured,75,210,79.25,67,0.104477612,0.313432836,0.104477612,0.119402985,0.358208955,0.47761194,0.417910448,0.714285714,0.285714286,0.25,0.291666667,181,4.6,0.46,59.91
Bryce McGowens,G,75.29,measured,78,190,80.75,14,0.142857143,0.5,0.071428571,0.071428571,0.214285714,0.285714286,0.642857143,1,0,0,0,0,0,0,59.91
Cam Christie,G,83.77,measured,77,190,80,24,0.333333333,0.083333333,0.041666667,0.125,0.416666667,0.541666667,0.416666667,0.5,0,0,0.2,0,0,0,59.91
Cam Spencer,G,68.48,measured,76,205,77,82,0.109756098,0.146341463,0.109756098,0.073170732,0.56097561,0.634146341,0.256097561,0.666666667,0.333333333,0.333333333,0.369565217,252,7.5,0.75,59.91
Chris Livingston,G,89.05,measured,78,208,83,27,0.518518519,0.185185185,0,0.111111111,0.185185185,0.296296296,0.703703704,0.571428571,0,0,0,0,0,0,59.91
Chuma Okeke,G,85.83,imputed,79,229,84,40,0.3,0,0,0.325,0.375,0.7,0.3,0.75,0,0.461538462,0.333333333,196,6.8,0.68,59.91
