player_name,ath__athleticism_score,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq,dominance__cpm,position,ath__athleticism_source,pca1,pca2,pca3,cluster_k9,umap1,umap2,size_score,playstyle_variety,playstyle_variety_raw,playstyle_variety_score,size_height_pct,size_wing_pct,shooting_score,creation_score,passing_score,defense_score,portability_score,unicorn_score,unicorn_percentile,is_unicorn,dominance_score,stature__height_inches_pct,stature__wingspan_in_pct,shoot__quality_pct,usage__creation_score_pct,pass__passer_rating_pct,defense__crafted_dpm_pct,portability__score_pct,dominance__cpm_pct,playstyle_variety_pct,name_key,usg_pct,offensive_load,box_creation
Jaylen Martin,80.625,78,216,83.0,74,0.364864865,0.256756757,0.067567568,0.094594595,0.216216216,0.310810811,0.621621622,0.703703704,0.2,0.142857143,0.375,239,3.5,0.35,56.07222222,0.198205863,1.4,0.144859813,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009009009,F,imputed,1.156756919,-0.47780565,-2.408917376,2,20.297882,-8.486113,0.507958801,1,1,0.019662921,0.443820225,0.572097378,0.412921348,0.359550562,0.282771536,0.574906367,0.13670412,0.408052434,0.247191011,False,0.570224719,0.443820225,0.572097378,0.412921348,0.359550562,0.282771536,0.574906367,0.13670412,0.570224719,0.019662921,Jaylen Martin,15.9,22.6,1.5
Josh Giddey,80.625,80,216,79.5,798,0.319548872,0.259398496,0.072681704,0.098997494,0.248120301,0.347117794,0.578947368,0.576470588,0.327586207,0.392405063,0.368686869,2117,8.7,0.87,58.3,0.579928013,6.5,-0.4,3.7,26.1,0.0,0.0,23.7,2.5,4.5,1.4,-0.125,G,imputed,-1.462627999,3.053930035,-0.628409988,3,16.628445,-8.594443,0.437265918,2,2,0.093632959,0.675093633,0.199438202,0.521535581,0.911985019,0.979400749,0.247191011,0.753745318,0.600608614,0.779026217,False,0.43071161,0.675093633,0.199438202,0.521535581,0.911985019,0.979400749,0.247191011,0.753745318,0.43071161,0.093632959,Josh Giddey,21.7,45.7,9.2
Ryan Dunn,90.38,79,216,85.5,477,0.20754717,0.213836478,0.025157233,0.322851153,0.230607966,0.553459119,0.421383648,0.707070707,0.333333333,0.331168831,0.281818182,1410,1.9,0.19,36.9,0.190421682,0.4,0.0,0.0,1.9,8.2,0.0,51.5,2.4,8.4,0.0,-1.6,F,measured,1.054440069,-3.200420754,1.046030159,2,18.095787,-10.780468,0.678370787,3,3,0.326779026,0.56741573,0.789325843,0.082397004,0.34082397,0.06741573,0.475655431,0.036516854,0.311797753,0.031835206,False,0.15917603,0.56741573,0.789325843,0.082397004,0.34082397,0.06741573,0.475655431,0.036516854,0.15917603,0.326779026,Ryan Dunn,16.7,21.6,1.0
Julian Champagnie,80.685,79,217,82.0,665,0.189473684,0.063157895,0.02556391,0.228571429,0.493233083,0.721804511,0.252631579,0.634920635,0.411764706,0.407894737,0.353658537,1932,2.8,0.28,75.3,0.233296573,7.7,-0.6,1.9,3.2,4.7,0.0,47.5,3.0,4.2,4.7,-0.8,F,measured,-2.441295082,-2.456607762,2.920650717,1,16.75651,-10.801635,0.512640449,1,1,0.019662921,0.56741573,0.457865169,0.963483146,0.443820225,0.177902622,0.208801498,0.865168539,0.420599251,0.292134831,False,0.274344569,0.56741573,0.457865169,0.963483146,0.443820225,0.177902622,0.208801498,0.865168539,0.274344569,0.019662921,Julian Champagnie,17.2,24.0,2.0
Sam Hauser,84.05,79,217,81.25,474,0.067510549,0.033755274,0.056962025,0.238396624,0.601265823,0.839662447,0.101265823,0.71875,0.62962963,0.451327434,0.403508772,1541,3.0,0.3,74.9,0.157204811,8.5,0.1,0.0,4.0,4.8,0.0,40.1,8.0,2.6,11.0,1.1,F,measured,-3.570381108,-2.712394029,4.139553411,1,16.92454,-11.862299,0.477059925,3,3,0.326779026,0.56741573,0.38670412,0.958801498,0.264044944,0.215355805,0.505617978,0.923220974,0.510252809,0.608614232,False,0.805243446,0.56741573,0.38670412,0.958801498,0.264044944,0.215355805,0.505617978,0.923220974,0.805243446,0.326779026,Sam Hauser,14.3,20.1,1.2
Tristan da Silva,83.86,80,217,82.25,483,0.265010352,0.182194617,0.057971014,0.200828157,0.291925466,0.492753623,0.447204969,0.5859375,0.321428571,0.360824742,0.319148936,1629,4.2,0.42,62.8,0.196207842,6.2,-0.6,2.0,11.7,5.0,0.0,33.9,4.6,9.6,2.8,-2.2,F,measured,-0.727974289,-1.181878099,0.616512687,2,16.883114,-10.291908,0.589419476,3,3,0.326779026,0.675093633,0.503745318,0.769662921,0.353932584,0.458801498,0.208801498,0.707865169,0.417743446,0.284644195,False,0.071161049,0.675093633,0.503745318,0.769662921,0.353932584,0.458801498,0.208801498,0.707865169,0.071161049,0.326779026,Tristan da Silva,15.2,22.9,1.7
Kris Murray,84.85,80,218,83.75,279,0.448028674,0.114695341,0.007168459,0.218637993,0.211469534,0.430107527,0.562724014,0.624,1.0,0.278688525,0.169491525,1040,3.7,0.37,21.8,0.150514544,0.4,0.9,0.0,0.0,0.0,0.0,38.9,6.1,5.8,0.0,-0.9,F,measured,1.674681383,-2.178598001,-0.18613767,2,18.295069,-10.426914,0.65917603,3,3,0.326779026,0.675093633,0.643258427,0.033707865,0.24906367,0.31741573,0.766853933,0.036516854,0.366947566,0.144194757,False,0.263108614,0.675093633,0.643258427,0.033707865,0.24906367,0.31741573,0.766853933,0.036516854,0.263108614,0.326779026,Kris Murray,13.9,20.5,1.0
Michael Porter Jr.,85.83,82,218,84.0,1048,0.279580153,0.127862595,0.125954198,0.060114504,0.398854962,0.458969466,0.407442748,0.737201365,0.409090909,0.507936508,0.385167464,2593,3.3,0.33,63.2,0.32215334,6.6,-0.8,1.5,4.4,2.2,0.9,21.5,12.9,11.0,12.7,0.9,F,imputed,-1.508194106,0.87654648,3.276548707,1,16.03858,-11.3144865,0.76076779,4,4,0.671348315,0.850187266,0.671348315,0.775280899,0.638576779,0.262172285,0.167602996,0.769662921,0.603511236,0.782771536,False,0.786516854,0.850187266,0.671348315,0.775280899,0.638576779,0.262172285,0.167602996,0.769662921,0.786516854,0.671348315,Michael Porter Jr.,20.2,28.7,3.1
Taurean Prince,96.9,78,218,83.5,514,0.192607004,0.107003891,0.048638132,0.336575875,0.311284047,0.647859922,0.299610895,0.585858586,0.4,0.450867052,0.43125,2166,4.8,0.48,67.2,0.137002903,9.4,-0.5,1.6,6.8,3.1,0.0,38.4,10.9,2.3,3.4,-1.8,F,measured,-2.376362841,-1.82254208,2.693696538,1,16.735239,-10.62078,0.534644195,3,3,0.326779026,0.443820225,0.625468165,0.852059925,0.228464419,0.554307116,0.22752809,0.983146067,0.428183521,0.31835206,False,0.126404494,0.443820225,0.625468165,0.852059925,0.228464419,0.554307116,0.22752809,0.983146067,0.126404494,0.326779026,Taurean Prince,12.5,19.2,1.5
Jalen Johnson,85.83,80,219,84.25,542,0.407749077,0.260147601,0.07195572,0.081180812,0.175276753,0.256457565,0.667896679,0.719457014,0.358974359,0.318181818,0.315789474,1284,5.8,0.58,48.7,0.454978913,5.4,1.8,2.7,14.2,8.7,4.1,22.8,4.6,7.1,0.0,1.9,F-C,imputed,1.625021218,1.976855137,0.423022347,6,14.758932,-8.474879,0.686329588,4,4,0.671348315,0.675093633,0.697565543,0.210674157,0.810861423,0.753745318,0.904494382,0.58988764,0.720224719,0.93258427,False,0.887640449,0.675093633,0.697565543,0.210674157,0.810861423,0.753745318,0.904494382,0.58988764,0.887640449,0.671348315,Jalen Johnson,22.5,37.2,5.5
