player_id,player_name,team,position,height_raw,weight_raw,height_inches,weight_lbs
1642434,Riley Minix,Spurs,Forward,6-7,230,79,230.0
1631169,Josh Minott,Celtics,Forward,6-8,205,80,205.0
1642274,Yves Missi,Pelicans,Center,6-11,235,83,235.0
1642349,Ajay Mitchell,Thunder,Guard,6-5,190,77,190.0
1630558,Davion Mitchell,Heat,Guard,6-0,202,72,202.0
1628378,Donovan Mitchell,Cavaliers,Guard,6-3,215,75,215.0
1630596,Evan Mobley,Cavaliers,Center,6-11,215,83,215.0
1630600,Isaiah Mobley,,Forward,6-8,238,80,238.0
1642367,Jonathan Mogbo,Raptors,Forward,6-9,225,81,225.0
1628370,Malik Monk,Kings,Guard,6-3,200,75,200.0
1630541,Moses Moody,Warriors,Guard,6-5,211,77,211.0
1631386,Tazé Moore,,Guard,6-5,195,77,195.0
1631111,Wendell Moore Jr.,Celtics,Guard,6-5,215,77,215.0
1629630,Ja Morant,Grizzlies,Guard,6-2,174,74,174.0
202693,Markieff Morris,Lakers,Forward,6-9,245,81,245.0
1628420,Monté Morris,Suns,Guard,6-2,183,74,183.0
1630530,Trey Murphy III,Pelicans,Forward,6-8,206,80,206.0
1627749,Dejounte Murray,Pelicans,Guard,6-4,180,76,180.0
1627750,Jamal Murray,Nuggets,Guard,6-4,215,76,215.0
1631099,Keegan Murray,Kings,Forward,6-8,225,80,225.0
1631200,Kris Murray,Trail Blazers,Forward,6-8,218,80,218.0
1629004,Svi Mykhailiuk,Jazz,Guard-Forward,6-7,205,79,205.0
1631250,Pete Nance,Bucks,Forward,6-10,225,82,225.0
1626204,Larry Nance Jr.,Cavaliers,Forward-Center,6-8,245,80,245.0
1629614,Andrew Nembhard,Pacers,Guard-Forward,6-4,191,76,191.0
1630174,Aaron Nesmith,Pacers,Guard-Forward,6-5,215,77,215.0
1641803,Tristen Newton,Timberwolves,Guard,6-5,190,77,190.0
1627777,Georges Niang,Jazz,Forward,6-6,230,78,230.0
1630227,Daishen Nix,,Guard,6-4,238,76,238.0
1630192,Zeke Nnaji,Nuggets,Forward-Center,6-9,240,81,240.0
1641936,Miles Norris,Celtics,Forward,6-7,220,79,220.0
1629669,Jaylen Nowell,,Guard,6-4,201,76,201.0
203994,Jusuf Nurkić,Jazz,Center,6-11,290,83,290.0
1626220,Royce O'Neale,Suns,Forward,6-6,226,78,226.0
1626143,Jahlil Okafor,,Center-Forward,6-10,270,82,270.0
1629643,Chuma Okeke,Cavaliers,Forward,6-7,229,79,229.0
1629006,Josh Okogie,Rockets,Guard,6-4,213,76,213.0
1630168,Onyeka Okongwu,Hawks,Forward-Center,6-10,240,82,240.0
1630171,Isaac Okoro,Bulls,Forward-Guard,6-5,225,77,225.0
1642439,Quincy Olivari,,Guard,6-3,200,75,200.0
203482,Kelly Olynyk,Spurs,Forward-Center,7-0,240,84,240.0
1626162,Kelly Oubre Jr.,76ers,Forward-Guard,6-8,203,80,203.0
101108,Chris Paul,Clippers,Guard,6-0,175,72,175.0
1626166,Cameron Payne,Pacers,Guard,6-3,183,75,183.0
203901,Elfrid Payton,Pelicans,Guard,6-3,195,75,195.0
1627780,Gary Payton II,Warriors,Guard,6-2,195,74,195.0
1641809,Drew Peterson,Hornets,Forward,6-9,205,81,205.0
1641763,Julian Phillips,Bulls,Forward,6-8,198,80,198.0
1629618,Jalen Pickett,Nuggets,Guard,6-2,202,74,202.0
1630590,Scotty Pippen Jr.,Grizzlies,Guard,6-1,170,73,170.0
1631342,Daeqwon Plowden,Kings,Guard-Forward,6-6,216,78,216.0
203486,Mason Plumlee,Hornets,Forward-Center,6-10,254,82,254.0
1641764,Brandin Podziemski,Warriors,Guard,6-4,205,76,205.0
1627751,Jakob Poeltl,Raptors,Center,7-0,253,84,253.0
1629673,Jordan Poole,Pelicans,Guard,6-4,194,76,194.0
1641854,Craig Porter Jr.,Cavaliers,Guard,6-1,180,73,180.0
1629645,Kevin Porter Jr.,Bucks,Guard-Forward,6-4,203,76,203.0
