PLAYER,TEAM,HandOffFreq%,HandOffPercentile
Keion Brooks Jr.,NOP,7.6,62.7
Keldon Johnson,SAS,7.5,51.4
Kelly Oubre Jr.,PHI,5.5,70.5
Kenrich Williams,OKC,2.5,15.9
Kentavious Caldwell-Pope,ORL,6.8,75.4
Keon Ellis,SAC,6,45.6
Keon Johnson,BKN,6.3,56.1
Kevin Durant,PHX,2.5,66.8
Kevin Huerter,SAC,16.7,30.6
Kevin Huerter,CHI,8.7,62.7
Kevin Porter Jr.,LAC,5.5,48
Kevin Porter Jr.,MIL,5.7,62.7
Keyonte George,UTA,9.6,93.2
Khris Middleton,MIL,9,70.8
Klay Thompson,DAL,13.9,71.5
Kris Murray,POR,6.1,8.9
Kyle Kuzma,MIL,7.8,71.2
Kyle Kuzma,WAS,5.6,22.3
Kyle Lowry,PHI,6.5,100
Kyrie Irving,DAL,6.8,49.5
Kyshawn George,WAS,10.1,20.4
LaMelo Ball,CHA,8,54.4
Landry Shamet,NYK,8.5,31.2
Lauri Markkanen,UTA,10.5,39.1
LeBron James,LAL,3.9,50.2
Lindy Waters III,GSW,8.4,11.4
Lonzo Ball,CHI,6.4,34.3
Luguentz Dort,OKC,2,10
Luka Dončić,DAL,6.5,97.5
Luka Dončić,LAL,3.9,68.9
Luke Kennard,MEM,5,99.3
Malcolm Brogdon,WAS,7.5,9.3
Malik Beasley,DET,11.9,74.2
Malik Monk,SAC,11.7,45.9
Marcus Sasser,DET,6.1,91.8
Marcus Smart,WAS,9.8,12.1
Matas Buzelis,CHI,2.4,82.5
Max Christie,DAL,5.5,84
Max Christie,LAL,4.1,8.2
Max Strus,CLE,9.8,80.4
Michael Porter Jr.,DEN,12.9,58.4
Mikal Bridges,NYK,7.1,47.3
Mike Conley,MIN,10.4,68.9
Miles Bridges,CHA,5.3,67.3
Miles McBride,NYK,7.3,90.4
Moses Moody,GSW,4.7,34.9
Myles Turner,IND,1.4,83.6
Naji Marshall,DAL,2.8,33.8
Naz Reid,MIN,3.5,78.6
Nick Smith Jr.,CHA,8.2,14.6
Nickeil Alexander-Walker,MIN,3.7,12.1
Nikola Jokić,DEN,1,93.6
Nikola Jović,MIA,3.6,73
Noah Clowney,BKN,3.7,7.8
Norman Powell,LAC,10,78.3
OG Anunoby,NYK,4.4,52.1
Obi Toppin,IND,2.6,34.3
Ochai Agbaji,TOR,6.9,26.3
P.J. Washington,DAL,2.7,22.3
Paolo Banchero,ORL,1.4,3.2
Pascal Siakam,IND,2.6,79
Pat Connaughton,MIL,14,56.1
Patrick Williams,CHI,3.1,37
Patty Mills,UTA,11.8,98.9
Paul George,PHI,4.6,81.5
Payton Pritchard,BOS,3.7,79.4
Pelle Larsson,MIA,3.9,0.4
Quentin Grimes,DAL,7.9,46.6
Quentin Grimes,PHI,6.3,27.8
RJ Barrett,TOR,9.8,27.1
Reece Beekman,BKN,7.3,29.7
Reed Sheppard,HOU,10.6,39.5
Ricky Council IV,PHI,3.3,6.4
Rob Dillingham,MIN,4.8,5.7
Ronald Holland II,DET,3.7,22.3
Royce O'Neale,PHX,1.9,1.1
Russell Westbrook,DEN,3.8,35.2
Ryan Dunn,PHX,2.4,76.1
Ryan Rollins,MIL,6.7,4.3
Sam Hauser,BOS,8,85.1
Sam Merrill,CLE,12.9,24.6
Santi Aldama,MEM,1.6,100
Scoot Henderson,POR,6.1,71.9
Scottie Barnes,TOR,3.1,21.4
Scotty Pippen Jr.,MEM,3.2,76.1
Seth Curry,CHA,14.6,42.9
Shaedon Sharpe,POR,7.5,28.8
Shai Gilgeous-Alexander,OKC,2.3,94.3
Shake Milton,BKN,9.9,95.7
Simone Fontecchio,DET,9.3,80.4
Spencer Dinwiddie,DAL,2.6,62.7
Stephen Curry,GSW,8.9,77.9
Stephon Castle,SAS,6.2,19.9
Svi Mykhailiuk,UTA,7.6,18.2
T.J. McConnell,IND,4.8,66.8
Talen Horton-Tucker,CHI,5.1,90.7
Tari Eason,HOU,2.4,22.3
Taurean Prince,MIL,10.9,53.7
Terance Mann,ATL,5.5,28.5
Terrence Shannon Jr.,MIN,7.2,43.8
Terry Rozier,MIA,6.3,37.7
Tidjane Salaün,CHA,3.6,7.1
Tim Hardaway Jr.,DET,7.6,22.3
Tobias Harris,DET,3.4,68
Tosan Evbuomwan,BKN,7.2,77.6
Toumani Camara,POR,2.6,15.3
Trae Young,ATL,6.9,37.4
Tre Mann,CHA,5.7,18.9
Trendon Watford,BKN,11.7,42.9
Trevelin Queen,ORL,6.7,1.1
Trey Murphy III,NOP,9.8,48.4
Tristan da Silva,ORL,4.6,35.8
Ty Jerome,CLE,3.5,95
Tyler Herro,MIA,10.1,81.9
Tyrese Haliburton,IND,8,89.7
Tyrese Martin,BKN,13.5,54.8
Tyrese Maxey,PHI,6.8,25.3
Tyus Jones,PHX,2.2,32.5
Vasilije Micic,CHA,6,38.4
Victor Wembanyama,SAS,3.2,51.4
Vít Krejčí,ATL,10.2,58
Zaccharie Risacher,ATL,6,33.5
Zach LaVine,SAC,9.7,79.7
Zach LaVine,CHI,3.5,85.8
Ziaire Williams,BKN,7.2,26
Zion Williamson,NOP,3.7,89
