#,Player,CraftedDPM
1,Draymond Green,4.5
2,Victor Wembanyama,4.1
3,Alex Caruso,3.8
4,Rudy Gobert,3.8
5,Ivica Zubac,3.2
6,Isaiah Hartenstein,3.1
7,Jonathan Isaac,3.1
8,Jusuf Nurkic,3.1
9,Chet Holmgren,3.1
10,Anthony Davis,3
11,Kris Dunn,3
12,Amen Thompson,2.7
13,Goga Bitadze,2.7
14,Herbert Jones,2.6
15,Ausar Thompson,2.6
16,Dereck Lively II,2.5
17,Donovan Clingan,2.5
18,Jakob Poeltl,2.4
19,Kristaps Porzingis,2.4
20,Brook Lopez,2.4
21,Tari Eason,2.4
22,Luke Kornet,2.3
23,Keon Ellis,2.3
24,Giannis Antetokounmpo,2.3
25,Joel Embiid,2.3
26,Isaiah Stewart,2.2
27,Kevon Looney,2.2
28,Jarrett Allen,2.2
29,Al Horford,2.2
30,Dean Wade,2.2
31,Josh Okogie,2.2
32,Jae'Sean Tate,2.1
33,Bam Adebayo,2.1
34,Nikola Jokic,2.1
35,Dwight Powell,2.1
36,Jaxson Hayes,2.1
37,Evan Mobley,2.1
38,Jalen Suggs,2.1
39,Jaren Jackson Jr.,2.1
40,Toumani Camara,2
41,Wendell Carter Jr.,2
42,Delon Wright,2
43,Lonzo Ball,2
44,Nicolas Batum,2
45,Fred VanVleet,1.9
46,Mouhamed Gueye,1.9
47,Dyson Daniels,1.9
48,Kawhi Leonard,1.9
49,Scotty Pippen Jr.,1.9
50,Kentavious Caldwell-Pope,1.9
51,Kentavious Caldwell-Pope,1.9
52,Shai Gilgeous-Alexander,1.8
53,Jalen Johnson,1.8
54,Jaylin Williams,1.8
55,Walker Kessler,1.7
56,Brandin Podziemski,1.7
57,Kenrich Williams,1.7
58,Myles Turner,1.7
59,Jaden McDaniels,1.6
60,Kyle Anderson,1.6
61,Paul George,1.6
62,Cody Martin,1.6
63,Cason Wallace,1.5
64,Dorian Finney-Smith,1.5
65,Ryan Rollins,1.5
66,Jrue Holiday,1.5
67,Derrick White,1.5
68,Jarred Vanderbilt,1.5
69,Tobias Harris,1.5
70,Haywood Highsmith,1.5
71,John Konchar,1.5
72,Clint Capela,1.4
73,Anthony Black,1.4
74,Day'Ron Sharpe,1.4
75,Brandon Clarke,1.4
76,Nic Claxton,1.4
77,Mason Plumlee,1.4
78,OG Anunoby,1.4
79,Kel'el Ware,1.3
80,Alperen Sengun,1.3
81,Zach Collins,1.3
82,Kyle Lowry,1.3
83,Oso Ighodaro,1.3
84,Gary Payton II,1.3
85,Josh Hart,1.2
86,Luguentz Dort,1.2
87,Mike Conley,1.2
88,Derrick Jones Jr.,1.2
89,Zeke Nnaji,1.2
90,Luka Doncic,1.2
91,Ben Simmons,1.1
92,Gary Harris,1.1
93,Naz Reid,1.1
94,Jalen Williams,1.1
95,Zach Edey,1.1
96,Franz Wagner,1
97,Scottie Barnes,1
98,DeAndre Jordan,1
99,Jimmy Butler,1
100,Peyton Watson,1
101,Bismack Biyombo,1
102,Javonte Green,0.9
103,Adem Bona,0.9
104,P.J. Washington,0.9
105,Kris Murray,0.9
106,Jonathan Mogbo,0.9
107,Jock Landale,0.9
108,Daniel Gafford,0.9
109,Jordan Goodwin,0.9
110,Jalen Duren,0.9
111,Isaac Okoro,0.9
112,Drew Eubanks,0.8
113,Marcus Smart,0.8
114,Neemias Queta,0.8
115,Jericho Sims,0.8
116,Nikola Jovic,0.8
117,Onyeka Okongwu,0.8
118,Sam Merrill,0.8
119,Dalen Terry,0.8
120,Maxi Kleber,0.8
121,Kyshawn George,0.8
122,Richaun Holmes,0.8
123,Kelly Olynyk,0.8
124,Chris Paul,0.7
125,Jayson Tatum,0.7
126,Domantas Sabonis,0.7
127,Davion Mitchell,0.7
128,Miles McBride,0.7
129,Jose Alvarado,0.7
130,Nickeil Alexander-Walker,0.7
131,Moussa Diabate,0.6
132,Andrew Nembhard,0.6
133,James Harden,0.5
134,Pascal Siakam,0.5
135,Dillon Brooks,0.5
136,Aaron Gordon,0.5
137,Daniel Theis,0.5
138,Royce O'Neale,0.5
139,Aaron Holiday,0.5
140,Moritz Wagner,0.5
141,Andre Drummond,0.5
142,Gui Santos,0.5
143,Tre Jones,0.5
144,Cam Reddish,0.4
145,Deandre Ayton,0.4
146,Kevin Porter Jr.,0.4
147,AJ Green,0.4
148,Keegan Murray,0.4
149,Ajay Mitchell,0.4
150,Donovan Mitchell,0.3
151,Pelle Larsson,0.3
152,Donovan Mitchell,0.3
153,Trayce Jackson-Davis,0.3
154,Blake Wesley,0.3
155,Dillon Jones,0.3
156,Mark Williams,0.3
157,Jay Huff,0.3
158,Deni Avdija,0.3
159,Cole Anthony,0.3
160,Karlo Matkovic,0.2
161,Karl-Anthony Towns,0.2
162,Jabari Smith Jr.,0.2
163,Justin Champagnie,0.2
164,Kevin Huerter,0.2
165,Caleb Martin,0.2
166,Colby Jones,0.2
167,Julian Phillips,0.2
168,Moses Moody,0.2
169,John Collins,0.2
170,Precious Achiuwa,0.2
171,Jake LaRavia,0.2
172,Trey Lyles,0.2
173,Jarace Walker,0.2
174,Ron Holland,0.2
175,Jabari Walker,0.1
176,Jalen Smith,0.1
177,Isaiah Joe,0.1
178,Max Strus,0.1
179,Gabe Vincent,0.1
180,Rui Hachimura,0.1
181,Jaylen Clark,0.1
182,Sam Hauser,0.1
183,LeBron James,0.1
184,Alec Burks,0.1
185,Anthony Edwards,0.1
186,Christian Braun,0.1
187,Josh Green,0.1
188,Chris Boucher,0
189,Donte DiVincenzo,0
190,Khris Middleton,0
191,Cameron Payne,0
192,Bogdan Bogdanovic,0
193,Cory Joseph,0
194,Elfrid Payton,0
195,Tosan Evbuomwan,0
196,Ryan Dunn,0
197,Matas Buzelis,0
198,Reed Sheppard,0
199,Vit Krejci,0
200,Ochai Agbaji,0
201,Immanuel Quickley,0
202,Orlando Robinson,0
203,Jalen Pickett,0
204,Naji Marshall,0
205,Zion Williamson,0
206,Jaime Jaquez Jr.,0
207,Desmond Bane,0
208,Bobby Portis,-0.1
209,Ja Morant,-0.1
210,Olivier-Maxence Prosper,-0.1
211,Sandro Mamukelashvili,-0.1
212,Santi Aldama,-0.1
213,Thomas Bryant,-0.1
214,Tyrese Haliburton,-0.1
215,Caris LeVert,-0.2
216,T.J. McConnell,-0.2
217,Aaron Wiggins,-0.2
218,Monte Morris,-0.2
219,D'Angelo Russell,-0.2
220,Norman Powell,-0.2
221,Patrick Williams,-0.2
222,Trendon Watford,-0.2
223,Jeremy Sochan,-0.2
224,Ziaire Williams,-0.2
225,Mikal Bridges,-0.2
226,Kessler Edwards,-0.2
227,Micah Potter,-0.2
228,Tidjane Salaun,-0.3
229,Yves Missi,-0.3
230,Kevin Durant,-0.3
231,Payton Pritchard,-0.3
232,Landry Shamet,-0.3
233,Lindy Waters III,-0.3
234,Dalano Banton,-0.3
235,Nikola Vucevic,-0.3
236,Andre Jackson Jr.,-0.3
237,Craig Porter Jr.,-0.4
238,Quinten Post,-0.4
239,Andrew Wiggins,-0.4
240,Ben Sheppard,-0.4
241,Kyrie Irving,-0.4
242,Bub Carrington,-0.4
243,Jerami Grant,-0.4
244,Josh Giddey,-0.4
245,Ty Jerome,-0.4
246,Jonathan Kuminga,-0.4
247,Jonas Valanciunas,-0.4
248,Aaron Nesmith,-0.4
249,Alex Sarr,-0.4
250,Kelly Oubre Jr.,-0.5
251,Pat Connaughton,-0.5
252,Garrison Mathews,-0.5
253,Caleb Houstan,-0.5
254,Marcus Sasser,-0.5
255,Taurean Prince,-0.5
256,Jamal Cain,-0.5
257,Ja'Kobe Walter,-0.5
258,Julius Randle,-0.6
259,Julian Champagnie,-0.6
260,Jared Butler,-0.6
261,Noah Clowney,-0.6
262,Paolo Banchero,-0.6
263,Seth Curry,-0.6
264,Shake Milton,-0.6
265,Simone Fontecchio,-0.6
266,Talen Horton-Tucker,-0.6
267,De'Aaron Fox,-0.6
268,Tristan Vukcevic,-0.6
269,Tristan da Silva,-0.6
270,Dennis Schroder,-0.7
271,Kyle Filipowski,-0.7
272,Max Christie,-0.7
273,Buddy Hield,-0.7
274,Brandon Ingram,-0.7
275,Keon Johnson,-0.7
276,Brandon Boston Jr.,-0.7
277,Jeff Dowtin Jr.,-0.7
278,Cade Cunningham,-0.7
279,Cameron Johnson,-0.7
280,Duncan Robinson,-0.7
281,DaQuan Jeffries,-0.8
282,Jaylen Brown,-0.8
283,KJ Martin,-0.8
284,Tyrese Martin,-0.8
285,Miles Bridges,-0.8
286,Nick Richards,-0.8
287,Bruce Brown,-0.8
288,Dejounte Murray,-0.8
289,Michael Porter Jr.,-0.8
290,Bilal Coulibaly,-0.8
291,Grayson Allen,-0.8
292,Malik Beasley,-0.8
293,Svi Mykhailiuk,-0.9
294,Russell Westbrook,-0.9
295,Damian Lillard,-0.9
296,Lauri Markkanen,-0.9
297,Eric Gordon,-0.9
298,Guerschon Yabusele,-0.9
299,Stephen Curry,-0.9
300,Cody Williams,-1
301,Spencer Dinwiddie,-1
302,DeMar DeRozan,-1
303,Malcolm Brogdon,-1
304,Ayo Dosunmu,-1
305,Austin Reaves,-1
306,Terry Rozier,-1
307,Trey Murphy III,-1
308,Darius Garland,-1
309,Jett Howard,-1.1
310,Brandon Miller,-1.1
311,Jamal Murray,-1.1
312,Luke Kennard,-1.1
313,Malik Monk,-1.1
314,Vasilije Micic,-1.1
315,Quentin Grimes,-1.1
316,Ricky Council IV,-1.1
317,Jalen Wilson,-1.1
318,De'Andre Hunter,-1.1
319,Cam Whitmore,-1.2
320,Tyler Herro,-1.2
321,Kyle Kuzma,-1.2
322,Obi Toppin,-1.2
