PLAYER,TEAM,PRRollmanFreq%,PRRollmanPercentile
Moussa Diabaté,CHA,22.7,73
Myles Turner,IND,27.9,52.9
Naji Marshall,DAL,2.5,4
Naz Reid,MIN,12.9,41.4
Neemias Queta,BOS,17.3,80.2
Nic Claxton,BKN,16.9,43.5
Nick Richards,PHX,28.7,81.7
Nick Richards,CHA,24.6,66.9
Nick Smith Jr.,CHA,4.5,9.4
Nicolas Batum,LAC,8.5,18.5
Nikola Jokić,DEN,12,83.5
Nikola Jović,MIA,5.3,9
Nikola Vučević,CHI,28.3,60.1
Noah Clowney,BKN,11.6,7.6
OG Anunoby,NYK,2,19.4
Obi Toppin,IND,7.4,85.6
Ochai Agbaji,TOR,4.3,62.2
Olivier-Maxence Prosper,DAL,4.5,85.3
Onyeka Okongwu,ATL,22.7,82.4
Orlando Robinson,TOR,20.2,28.8
Oscar Tshiebwe,UTA,21.7,96.7
Oso Ighodaro,PHX,32,37.4
Ousmane Dieng,OKC,9.3,75.9
P.J. Washington,DAL,3.5,46
Paolo Banchero,ORL,6.4,31.7
Pascal Siakam,IND,9.6,51.8
Pat Connaughton,MIL,5.1,14.1
Patrick Williams,CHI,2.2,16.7
Payton Pritchard,BOS,1.5,80.9
Peyton Watson,DEN,6.8,23.1
Precious Achiuwa,NYK,14.3,28.1
Quentin Grimes,DAL,2.4,34.3
Quinten Post,GSW,13.8,50
RJ Barrett,TOR,1.2,5
Richaun Holmes,WAS,23.9,97.1
Ricky Council IV,PHI,4.1,29.2
Robert Williams III,POR,25.5,94.2
Royce O'Neale,PHX,4.8,30.9
Rudy Gobert,MIN,22.3,74.5
Rui Hachimura,LAL,8.1,18
Russell Westbrook,DEN,1.1,6.1
Ryan Dunn,PHX,8.2,69.1
Sam Hauser,BOS,4.8,34.3
Sam Merrill,CLE,7.4,43.9
Sandro Mamukelashvili,SAS,18.6,56.7
Santi Aldama,MEM,3.4,9.7
Scottie Barnes,TOR,3.6,59.1
Scotty Pippen Jr.,MEM,1.7,11.2
Seth Curry,CHA,4.6,7.9
Simone Fontecchio,DET,4.1,34.3
Stephen Curry,GSW,1.1,84.1
Stephon Castle,SAS,1.6,21.7
Steven Adams,HOU,15.5,6.8
Taj Gibson,CHA,28.5,4.7
Tari Eason,HOU,2.4,18.5
Taurean Prince,MIL,3.1,52.2
Terance Mann,LAC,5.5,0.4
Thomas Bryant,IND,22.7,86.3
Tidjane Salaün,CHA,4.7,0.7
Tim Hardaway Jr.,DET,4.2,75.1
Tobias Harris,DET,3.9,70
Toumani Camara,POR,7.7,91.4
Trayce Jackson-Davis,GSW,19.9,42.4
Trendon Watford,BKN,3.1,27
Trey Jemison III,LAL,22.6,94.6
Trey Lyles,SAC,14.8,19.8
Trey Murphy III,NOP,3.8,77.6
Tristan Vukcevic,WAS,29.7,82
Tristan da Silva,ORL,5,11.2
Tyler Herro,MIA,1.1,53.8
Tyus Jones,PHX,2,44.9
Victor Wembanyama,SAS,15,65.1
Vít Krejčí,ATL,4.1,8.3
Walker Kessler,UTA,19.4,40.6
Wendell Carter Jr.,ORL,18,39.2
Yves Missi,NOP,27.4,55
Zaccharie Risacher,ATL,3.5,12.6
Zach Collins,CHI,22.4,87.1
Zach Collins,SAS,25.4,34.3
Zach Edey,MEM,9.9,95.7
Zach LaVine,SAC,1.7,22.3
Zeke Nnaji,DEN,10.7,42.8
Ziaire Williams,BKN,1.7,14.1
Zion Williamson,NOP,3.6,78.4
