,Year,Player,HEIGHT,WEIGHT,POSITION,bSPARQ,NBA %
1051,2006,Dan Grunfeld,6' 4.75'',216,WING,82.62,44.30%
1052,2006,Daniel Horton,6' 0.5'',198,COMBO G,81.44,58.40%
1053,2006,Danilo Pinnock,6' 2.75'',204,COMBO G,82.29,62.60%
1054,2006,Darius Washington,5' 11.5'',195,PG,78.6,61.90%
1055,2006,David Noel,6' 4.5'',223,WING,99.09,98.00%
1056,2006,Denham Brown,6' 4'',218,WING,83.23,47.50%
1057,2006,Dwayne Mitchell,6' 2'',208,WING,100.15,98.60%
1058,2006,Eric Hicks,6' 4.75'',238,BIG,93.74,70.90%
1059,2006,Eric Williams,6' 7.25'',285,BIG,103.91,96.90%
1060,2006,Frans Steyn,7' 1.25'',280,BIG,102.36,95.30%
1061,2006,Gerry McNamara,5' 11.75'',177,COMBO G,69.63,9.60%
1062,2006,Hilton Armstrong,6' 9.5'',240,BIG,90.62,55.70%
1063,2006,Ian Vouyoukas,6' 8.5'',267,BIG,83.91,23.30%
1064,2006,J.P. Batista,6' 7.5'',265,BIG,91.41,59.70%
1065,2006,James Augustine,6' 8.25'',227,BIG,90.24,53.80%
1066,2006,JJ Redick,6' 4'',190,WING,74.19,10.30%
1067,2006,Joah Tucker,6' 3.75'',224,WING,87.15,67.70%
1068,2006,Jordan Farmar,6' 0.75'',171,PG,79.16,65.30%
1069,2006,Justin Williams,6' 7.25'',211,BIG,77.94,6.60%
1070,2006,Kenny Adeleke,6' 6.5'',250,BIG,93.61,70.30%
1071,2006,Keydren Clark,5' 9'',184,PG,78.95,64.10%
1072,2006,LaMarcus Aldridge,6' 10'',234,BIG,84.25,24.70%
1073,2006,Lou Amundson,6' 7.2'',221,BIG,92.8,66.60%
1074,2006,Marco Killingsworth,6' 5.5'',266,BIG,96.99,83.50%
1075,2006,Marcus Slaughter,6' 7'',220,COMBO F,88.1,54.30%
1076,2006,Marcus Williams,6' 2'',215,PG,74.77,38.10%
