,Year,Player,HEIGHT,WEIGHT,POSITION,bSPARQ,NBA %
175,2023,Jalen Slawson,6' 6.50'',221.6,BIG,86.44,34.50%
176,2023,Jalen Wilson,6' 5.50'',230.2,WING,94.72,92.80%
177,2023,Jarace Walker,6' 6.50'',248.6,BIG,108.14,99.20%
178,2023,Jordan Miller,6' 4.50'',191.6,WING,83.17,47.20%
179,2023,Jordan Walsh,6' 5.75'',204,WING,89.27,77.00%
180,2023,Judah Mintz,6' 3.00'',176.4,PG,72.14,23.60%
181,2023,Julian Phillips,6' 6.75'',196.6,WING,92.66,88.30%
182,2023,Julian Strawther,6' 6.00'',208.8,WING,79.48,28.80%
183,2023,Kobe Brown,6' 6.50'',252.2,BIG,94.3,73.30%
184,2023,Kobe Bufkin,6' 4.25'',186.8,WING,76.07,15.60%
185,2023,Kris Murray,6' 7.75'',212.8,BIG,84.85,27.20%
186,2023,Leonard Miller,6' 9.25'',212.8,BIG,90.1,53.10%
187,2023,Marcus Sasser,6' 1.25'',195.6,PG,74.85,38.60%
188,2023,Maxwell Lewis,6' 6.25'',207.2,WING,89.37,77.40%
189,2023,Mike Miles Jr.,6' 0.75'',205,PG,89.79,98.10%
190,2023,Mojave King,6' 3.75'',200.6,WING,89.32,77.20%
191,2023,Olivier-Maxence Prosper,6' 6.75'',212.4,BIG,96.37,81.40%
192,2023,Omari Moore,6' 5.25'',188.6,WING,76.61,17.30%
193,2023,Oscar Tshiebwe,6' 7.25'',253.6,BIG,97.19,84.10%
194,2023,Rayan Rupert,6' 6.00'',193.2,WING,74.99,12.40%
195,2023,Reece Beekman,6' 1.50'',190.6,PG,80.12,70.70%
196,2023,Ricky Council IV,6' 5.00'',208,WING,85.55,59.70%
197,2023,Ryan Kalkbrenner,7' 0.75'',251.8,BIG,92.78,66.50%
198,2023,Seth Lundy,6' 4.00'',214.4,WING,89.67,78.60%
199,2023,Sidy Cissoko,6' 5.50'',223.8,WING,90.48,81.60%
200,2023,Taylor Hendricks,6' 8.25'',213.6,BIG,91.48,60.10%
201,2023,Terquavion Smith,6' 2.50'',163.2,WING,70.71,4.20%
202,2023,Terrence Shannon Jr.,6' 5.50'',220,WING,92.61,88.20%
203,2023,Toumani Camara,6' 7.00'',220.4,BIG,84.95,27.70%
204,2023,Trayce Jackson-Davis,6' 8.25'',240.4,BIG,101.59,94.20%
205,2023,Trey Alexander,6' 3.25'',184.6,WING,76.3,16.30%
206,2023,Tristan Vukcevic,6' 11.25'',223.4,BIG,80.15,11.20%
207,2023,Zach Edey,7' 3.25'',306.4,BIG,102.42,95.30%
208,2022,Alondes Williams,6' 3.75'',209,WING,84.83,55.90%
209,2022,Aminu Mohammed,6' 3.50'',212.8,WING,84.94,56.50%
210,2022,Andrew Nembhard,6' 3.00'',195.6,PG,73.89,32.90%
211,2022,Blake Wesley,6' 3.00'',187.2,WING,78.11,22.90%
212,2022,Bryce McGowens,6' 5.25'',181.2,WING,75.29,13.20%
213,2022,Christian Braun,6' 5.50'',209.2,WING,92.15,86.90%
214,2022,Christian Koloko,6' 10.75'',221,BIG,83.99,23.60%
215,2022,Collin Gillespie,6' 1.50'',195.8,PG,73.94,33.20%
216,2022,David Roddy,6' 4.50'',260.8,BIG,92.98,67.40%
217,2022,Dereon Seabron,6' 4.75'',182.4,WING,77.5,20.50%
218,2022,Dominick Barlow,6' 8.75'',221,BIG,85.09,28.30%
219,2022,Drew Timme,6' 8.25'',231.6,BIG,81.28,14.20%
220,2022,Dyson Daniels,6' 6.00'',195.2,WING,78.51,24.50%
221,2022,E.J. Liddell,6' 5.50'',243,BIG,108.61,99.30%
222,2022,Gabriele Procida,6' 5.75'',192.8,WING,78.8,25.80%
223,2022,Harrison Ingram,6' 5.25'',232.8,WING,90.95,83.20%
224,2022,Hugo Besson,6' 4.50'',180.4,WING,66.11,1.00%
225,2022,Iverson Molinar,6' 2.25'',183.2,PG,78.73,62.70%
226,2022,Jabari Walker,6' 6.75'',213.8,BIG,85.17,28.60%
227,2022,Jake LaRavia,6' 6.75'',227.2,BIG,84.71,26.60%
228,2022,Jalen Williams,6' 4.50'',209.2,WING,92.12,86.80%
229,2022,Jaylin Williams,6' 8.75'',236.6,BIG,80.25,11.40%
230,2022,JD Davison,6' 0.50'',191.8,PG,79.58,67.70%
231,2022,Jean Montero,6' 1.00'',171.8,PG,72.53,25.50%
232,2022,John Butler Jr.,6' 11.75'',174.4,BIG,67.99,0.30%
233,2022,Johnny Juzang,6' 5.25'',208.6,WING,79.35,28.20%
234,2022,Julian Champagnie,6' 6.25'',212.4,WING,82.7,44.70%
235,2022,Julian Strawther,6' 5.75'',207.6,WING,81.21,37.10%
236,2022,Justin Lewis,6' 6.25'',235.4,BIG,98.72,88.40%
237,2022,Kendall Brown,6' 6.25'',201.2,WING,85.38,58.80%
238,2022,Keon Ellis,6' 3.50'',167.4,WING,68.69,2.30%
239,2022,Kofi Cockburn,6' 11.00'',293,BIG,109.2,99.50%
240,2022,Leonard Miller,6' 8.50'',211,WING,85.32,58.50%
241,2022,Malaki Branham,6' 4.00'',194.8,WING,78.43,24.20%
242,2022,Matteo Spagnolo,6' 4.00'',196.2,PG,72.03,23.10%
243,2022,Matthew Mayer,6' 8.00'',216.4,WING,77.24,19.50%
244,2022,Max Christie,6' 4.25'',189.2,WING,82.41,43.20%
245,2022,Michael Foster Jr.,6' 7.75'',236.6,BIG,88.54,45.00%
246,2022,Moussa Diabate,6' 9.25'',216.6,BIG,84.89,27.40%
247,2022,Ochai Agbaji,6' 4.50'',216.8,WING,91.56,85.20%
248,2022,Orlando Robinson,6' 9.75'',244.4,BIG,78.51,7.60%
249,2022,Patrick Baldwin Jr.,6' 9.25'',230.8,WING,76.41,16.60%
250,2022,Peyton Watson,6' 6.75'',203.4,WING,78.97,26.50%
251,2022,Ron Harper Jr.,6' 4.00'',240.4,WING,84.81,55.80%
252,2022,Ryan Rollins,6' 2.00'',179.2,WING,76.5,17.00%
253,2022,Scotty Pippen Jr.,6' 0.00'',180,PG,76.81,50.80%
254,2022,Terquavion Smith,6' 2.25'',165.2,WING,72.14,6.20%
255,2022,Trevion Williams,6' 7.25'',264.6,BIG,95.27,77.30%
256,2022,Trevor Keels,6' 3.25'',223.8,WING,77.02,18.80%
257,2022,Wendell Moore,6' 4.25'',217.2,WING,92.71,88.40%
258,2021,Aaron Henry,6'4.5'',209.6,WING,82.88,45.70%
259,2021,Aaron Wiggins,6'4.5'',190,WING,77.94,22.20%
260,2021,AJ Lawson,6'5.5'',179.2,WING,80.96,35.80%
261,2021,Ariel Hukporti,6'10.75'',246,BIG,82.63,18.50%
262,2021,Austin Reaves,6'4.5'',197.2,WING,71.35,5.00%
263,2021,Ayo Dosunmu,6'3.5'',194.4,WING,74.42,10.90%
264,2021,Carlik Jones,6'0.0'',173.6,PG,76.53,49.00%
265,2021,Charles Bassey,6'9.25'',230.2,BIG,98.11,86.80%
266,2021,Corey Kispert,6'6.0'',223.8,WING,89.37,77.40%
267,2021,Daishen Nix,6'3.0'',225.6,PG,88.84,97.30%
268,2021,David Duke Jr.,6'4.25'',203.6,WING,83.21,47.40%
269,2021,David Johnson,6'3.25'',202.8,WING,89.04,76.10%
270,2021,DJ Steward,6'0.75'',162.2,PG,77.71,56.50%
271,2021,Duane Washington Jr.,6'2.25'',196.8,WING,80.11,31.70%
272,2021,Greg Brown III,6'7.25'',206.4,BIG,91.14,58.40%
273,2021,Herbert Jones,6'6.0'',206.4,WING,80.92,35.60%
274,2021,Isaiah Mobley,6'8.0'',238,BIG,85.34,29.40%
275,2021,Isaiah Todd,6'8.75'',219,BIG,84.53,25.90%
276,2021,Jaden Springer,6'3.0'',202,WING,91.75,85.70%
277,2021,Jason Preston,6'3.0'',180.6,PG,76.96,51.80%
278,2021,Jeremiah Robinson-Earl,6'7.75'',242.4,BIG,87.74,40.90%
279,2021,Jericho Sims,6'9.0'',250.2,BIG,114.99,100.00%
280,2021,Joe Wieskamp,6'5.75'',204.8,WING,83.55,49.20%
281,2021,John Petty Jr.,6'4.5'',186.2,WING,73.12,8.00%
282,2021,Johnny Juzang,6'5.5'',209,WING,86.76,65.80%
283,2021,Josh Christopher,6'3.25'',214.8,WING,85.56,59.80%
284,2021,Joshua Primo,6'4.0'',189,WING,79.53,29.00%
285,2021,JT Thor,6'8.5'',203,BIG,85.83,31.60%
286,2021,Julian Champagnie,6'6.5'',217.4,WING,78.67,25.20%
287,2021,Justin Champagnie,6'5.75'',206.4,BIG,77.79,6.40%
288,2021,Keon Johnson,6'3.5'',184.8,WING,98.48,97.50%
289,2021,Kessler Edwards,6'7.0'',203,BIG,78.89,8.40%
290,2021,Luka Garza,6'10.0'',242.8,BIG,80.55,12.20%
291,2021,Makur Maker,6'10.25'',232.2,BIG,81.45,14.70%
292,2021,Marcus Bagley,6'6.0'',216.8,WING,92.56,88.00%
293,2021,Marcus Zegarowski,6'0.75'',180.8,PG,76.15,46.60%
294,2021,Matt Hurt,6'8.5'',232.4,BIG,81.54,15.00%
295,2021,Max Abmas,5'10.5'',161.8,PG,67.84,8.10%
296,2021,McKinley Wright IV,5'11.25'',192.2,PG,82.54,82.40%
297,2021,Miles McBride,6'1.0'',195.2,PG,82.56,82.40%
298,2021,Moses Wright,6'7.75'',225.8,BIG,93.3,68.90%
299,2021,Nah'Shon Hyland,6'2.0'',169,WING,66.63,1.20%
300,2021,Neemias Queta,6'11.25'',248.4,BIG,89.45,49.70%
301,2021,Ochai Agbaji,6'4.5'',214.4,WING,90.82,82.80%
302,2021,Quentin Grimes,6'4.0'',205,WING,84.62,54.90%
303,2021,RaiQuan Gray,6'6.5'',268.6,BIG,93.78,71.10%
304,2021,Sam Hauser,6'6.75'',217.4,WING,84.05,51.80%
305,2021,Sandro Mamukelashvili,6'9.0'',239.8,BIG,95.43,77.90%
306,2021,Scottie Barnes,6'7.0'',225.4,WING,103.29,99.50%
307,2021,Scottie Lewis,6'4.0'',187.6,WING,85.67,60.30%
308,2021,Terrence Shannon Jr.,6'5.5'',206.6,WING,89.23,76.90%
309,2021,Trendon Watford,6'7.5'',237.4,BIG,88.73,46.00%
310,2021,Trey Murphy III,6'7.5'',206,WING,92,86.50%
311,2021,Yves Pons,6'5.5'',206.4,BIG,96.35,81.30%
312,2021,Ziaire Williams,6'8.25'',188.4,WING,85.88,61.40%
313,2020,Ashton Hagans,6'1.50'',193,PG,78.9,63.70%
314,2020,Cassius Stanley,6'5.00'',201.6,WING,91.58,85.20%
315,2020,Cassius Winston,6'0.50'',196,PG,69.02,11.20%
316,2020,CJ Elleby,6'5.50'',198.6,WING,82.57,44.10%
317,2020,Devon Dotson,6'0.50'',185.2,PG,80.35,72.00%
318,2020,Grant Riller,6'0.25'',178.4,COMBO G,79.84,50.30%
319,2020,Immanuel Quickley,6'2.00'',185.8,WING,76.69,17.60%
320,2020,Jalen Harris,6'2.75'',193.4,WING,94.46,92.30%
321,2020,Jordan Nwora,6'5.75'',223,COMBO F,86.83,47.40%
322,2020,Josh Green,6'4.50'',214,WING,87.44,69.00%
323,2020,Joshua Hall,6'6.00'',196.6,WING,83.84,50.70%
324,2020,Kahlil Whitney,6'5.50'',205,WING,81.57,38.90%
325,2020,Kaleb Wesson,6'9.25'',252.6,BIG,76.67,4.80%
326,2020,Karim Mane,6'5.00'',196,COMBO G,82.68,64.50%
327,2020,Kenyon Martin Jr.,6'6.00'',213.2,COMBO F,89.27,60.60%
328,2020,Killian Tillie,6'8.75'',221.6,BIG,83.08,20.20%
329,2020,Lamar Stevens,6'5.75'',228,COMBO F,102.01,97.80%
330,2020,Mamadi Diakite,6'8.50'',222.1,BIG,84.32,25.00%
331,2020,Markus Howard,5'9.50'',170.8,PG,73.99,33.50%
332,2020,Mason Jones,6'3.75'',207.2,WING,71.85,5.80%
333,2020,Naji Marshall,6'5.75'',233.5,WING,88.82,75.20%
334,2020,Nathan Knight,6'8.00'',235,BIG,76.32,4.30%
335,2020,Nick Richards,6'10.50'',241.6,BIG,94.74,75.20%
336,2020,Paul Eboua,6'6.00'',222.2,COMBO F,95.44,86.80%
337,2020,Paul Reed Jr.,6'8.50'',219.2,BIG,80.29,11.50%
338,2020,Reggie Perry,6'8.25'',249.6,BIG,97.26,84.30%
339,2020,Robert Woodard II,6'5.50'',230.2,WING,95.92,94.80%
340,2020,Skylar Mays,6'3.00'',204,WING,81.28,37.40%
341,2020,Trent Forrest,6'3.50'',203,PG,78.92,63.90%
342,2020,Ty-Shon Alexander,6'2.00'',200.8,WING,78.24,23.40%
343,2020,Tyler Bey,6'6.00'',212.8,BIG,100.8,92.90%
344,2020,Tyrell Terry,6'1.50'',170,PG,72.77,26.80%
345,2020,Udoka Azubuike,6'10.00'',259.5,BIG,118.43,100.00%
346,2020,Xavier Tillman Sr.,6'7.50'',266.5,BIG,91.8,61.70%
347,2020,Yoeli Childs,6'6.00'',226.4,BIG,99.24,89.70%
348,2020,Zeke Nnaji,6'9.25'',246.8,BIG,103.79,96.80%
349,2019,Admiral Schofield,6' 4'',240.6,WING,94.54,92.50%
350,2019,Brandon Clarke,6' 7.25'',207.2,WING,92.48,87.80%
351,2019,Brian Bowen II,6' 6.25'',200,WING,85.92,61.60%
352,2019,Bruno Fernando,6' 8.75'',237,BIG,92.15,63.50%
353,2019,Cameron Johnson,6' 7'',205.2,WING,84.54,54.40%
354,2019,Carsen Edwards,5' 10.75'',199.4,PG,78.85,63.50%
355,2019,Charles Bassey,6' 8.75'',239,BIG,91.54,60.40%
356,2019,Charles Matthews,6' 5'',194.8,WING,79.45,28.60%
357,2019,Cody Martin,6' 4.75'',192.2,COMBO G,75.71,30.10%
358,2019,Daniel Gafford,6' 9.25'',237.6,BIG,99.48,90.30%
359,2019,Darius Bazley,6' 7.75'',208.4,BIG,85.58,30.50%
360,2019,Dedric Lawson,6' 7'',233,BIG,76.96,5.10%
361,2019,Devon Dotson,6' 0'',178.6,PG,75.52,42.70%
362,2019,Dewan Hernandez,6' 9'',232.8,BIG,93.23,68.60%
363,2019,Dylan Windler,6' 6.25'',195.8,WING,78.73,25.50%
364,2019,Eric Paschall,6' 6'',254.4,WING,106.47,99.90%
365,2019,Grant Williams,6' 5.75'',240.2,BIG,84.77,26.90%
366,2019,Ignas Brazdeikis,6' 5.75'',220.8,WING,90.59,82.00%
367,2019,Isaiah Roby,6' 7.25'',214,BIG,91.58,60.60%
368,2019,Jalen Hoard,6' 7.25'',212.6,BIG,80.56,12.20%
369,2019,Jalen Lecque,6' 2.5'',185.2,PG,86.73,94.40%
370,2019,Jalen McDaniels,6' 8.25'',191.6,WING,78.32,23.80%
371,2019,Jared Harper,5' 9.75'',169.2,PG,78.5,61.30%
372,2019,Jaxson Hayes,6' 10.25'',218.6,BIG,81.12,13.80%
373,2019,Jaylen Hands,6' 1.5'',180.4,PG,81.43,77.40%
374,2019,Jaylen Nowell,6' 3.25'',202.4,WING,86.8,66.00%
375,2019,Jordan Bone,6' 1.5'',179,WING,86.28,63.40%
376,2019,Jordan Poole,6' 3.5'',190.8,WING,75.34,13.30%
377,2019,Kevin Porter Jr.,6' 4'',212.6,WING,79.55,29.10%
378,2019,Kris Wilkes,6' 6.25'',208.8,WING,79.46,28.70%
379,2019,Ky Bowman,6' 1'',181.2,PG,71.69,21.40%
380,2019,Kyle Guy,6' 0.75'',167.8,WING,72.97,7.70%
381,2019,KZ Okpala,6' 7.25'',209.6,WING,85.93,61.70%
382,2019,Louis King,6' 6.75'',195.2,WING,78.5,24.50%
383,2019,Luguentz Dort,6' 2.75'',222.2,PG,94.43,99.80%
384,2019,Luka Samanic,6' 9.5'',227.2,BIG,83.59,22.10%
385,2019,Marial Shayok,6' 4.5'',196.8,COMBO F,80.02,15.80%
386,2019,Mfiondu Kabengele,6' 8.75'',256.2,BIG,94.2,72.90%
387,2019,Miye Oni,6' 4.25'',205.6,WING,84.8,55.80%
388,2019,Moses Brown,7' 1.25'',237.2,BIG,86.22,33.40%
389,2019,Nassir Little,6' 4.5'',224.2,WING,91.76,85.80%
390,2019,Naz Reid,6' 8.75'',255.8,BIG,88.94,47.00%
391,2019,Neemias Queta,6' 10.75'',225.8,BIG,76.32,4.30%
392,2019,Nicolas Claxton,6' 10'',216.6,BIG,90.28,54.00%
393,2019,O'Shae Brissett,6' 7'',203.2,COMBO F,91.02,69.50%
394,2019,Quentin Grimes,6' 4'',209.6,WING,79.78,30.10%
395,2019,Quinndary Weatherspoon,6' 3'',206.6,WING,86.16,62.80%
396,2019,Reggie Perry,6' 8'',250.8,COMBO F,93.83,81.50%
397,2019,Shamorie Ponds,5' 11.5'',180,PG,74.13,34.30%
398,2019,Simisola Shittu,6' 8.5'',227.2,BIG,83.53,21.80%
399,2019,Tacko Fall,7' 5.25'',288.8,BIG,86.12,33.00%
400,2019,Talen Horton-Tucker,6' 2.5'',235.4,WING,83.51,49.00%
401,2019,Terance Mann,6' 4.75'',204.6,WING,88.58,74.10%
402,2019,Terence Davis,6' 3'',192.4,WING,78.72,25.40%
403,2019,Tremont Waters,5' 9.5'',172.4,PG,74.49,36.50%
404,2019,Ty Jerome,6' 4.25'',194.4,PG,72.49,25.30%
405,2019,Tyler Cook,6' 7.25'',245.4,BIG,89.85,51.80%
406,2019,Zach Norvell Jr.,6' 4.5'',206.4,WING,71.59,5.40%
407,2018,Aaron Holiday,5' 11.75'',187,PG,69.67,13.30%
408,2018,Alize Johnson,6' 7.25'',216.6,BIG,76.25,4.20%
409,2018,Allonzo Trier,6' 3.75'',198,WING,85.34,58.60%
410,2018,Anfernee Simons,6' 2.25'',183.2,COMBO G,80.5,53.70%
411,2018,Austin Wiley,6' 8.25'',249.4,BIG,92.22,63.80%
412,2018,Billy Preston,6' 8.75'',222.4,BIG,77.73,6.30%
413,2018,Brandon McCoy,6' 11.5'',250.4,BIG,91.19,58.70%
414,2018,Brian Bowen,6' 6.25'',202,WING,83.53,49.10%
415,2018,Bruce Brown,6' 3.5'',194.6,COMBO G,85.2,75.70%
416,2018,Bruno Fernando,6' 8.75'',233.2,BIG,89.82,51.60%
417,2018,Caleb Martin,6' 4.75'',195.8,WING,78.73,25.50%
418,2018,Carsen Edwards,5' 10.75'',195.6,PG,77.72,56.60%
419,2018,Chimezie Metu,6' 8.5'',219.6,BIG,86.9,36.70%
420,2018,Cody Martin,6' 4.75'',188.6,WING,76.6,17.30%
421,2018,DeAnthony Melton,6' 2.25'',193.2,COMBO G,81.85,60.50%
422,2018,Devon Hall,6' 4.25'',206.4,WING,73.66,9.10%
423,2018,Devonte Graham,6' 0.25'',186.4,PG,79.68,68.30%
424,2018,Donte DiVincenzo,6' 3.5'',200.6,WING,91.26,84.20%
425,2018,Gary Trent,6' 4.25'',204.2,WING,90.44,81.50%
426,2018,George King,6' 4.75'',218.6,WING,89.92,79.60%
427,2018,Grayson Allen,6' 3'',198,WING,86.39,64.00%
428,2018,Hamidou Diallo,6' 4.25'',197,WING,85.99,62.00%
429,2018,Jacob Evans,6' 4.25'',199.6,WING,77.92,22.10%
430,2018,Jalen Brunson,6' 1'',198.4,PG,79.59,67.70%
431,2018,Jaylen Barford,6' 1.25'',207.6,COMBO G,78.18,41.90%
432,2018,Jaylen Hands,6' 1.5'',179,PG,78.29,60.10%
433,2018,Jevon Carter,6' 0.25'',196.2,PG,78.92,63.90%
434,2018,Jontay Porter,6' 10'',236,BIG,82.43,17.90%
435,2018,Josh Okogie,6' 3'',210.8,WING,91.74,85.70%
436,2018,Keita Bates-Diop,6' 7.25'',223.8,WING,90.39,81.30%
437,2018,Kenrich Williams,6' 6'',200.4,WING,78.14,23.00%
438,2018,Kevin Hervey,6' 6.5'',211.6,BIG,80.25,11.40%
439,2018,Kevin Huerter,6' 6.25'',194,WING,82.02,41.20%
440,2018,Khyri Thomas,6' 2.5'',198.8,WING,81.6,39.00%
441,2018,Kostas Antetokounmpo,6' 9'',194.8,BIG,79.35,9.30%
442,2018,Kris Wilkes,6' 6.5'',205,WING,79.38,28.30%
443,2018,Landry Shamet,6' 4'',188.6,PG,80.41,72.30%
444,2018,Lonnie Walker,6' 3.75'',196.2,WING,83.72,50.10%
445,2018,Malik Newman,6' 2.5'',189.2,WING,73.98,9.80%
446,2018,Melvin Frazier,6' 4.5'',198.2,WING,83.46,48.70%
447,2018,Moritz Wagner,6' 10.5'',241.4,BIG,87.5,39.70%
448,2018,Omari Spellman,6' 8'',253.8,BIG,94.76,75.30%
449,2018,PJ Washington,6' 6.5'',223,BIG,82.37,17.70%
450,2018,Rawle Alkins,6' 2.75'',217.4,WING,92.83,88.70%
451,2018,Ray Spalding,6' 9'',215.4,BIG,78.05,6.80%
452,2018,Sagaba Konate,6' 6.5'',246,BIG,99.87,91.10%
453,2018,Shake Milton,6' 4.5'',207.2,COMBO G,84.07,70.90%
454,2018,Sviatoslav Mykhailiuk,6' 6.5'',211.6,WING,86.62,65.10%
455,2018,Theo Pinson,6' 5'',211.2,WING,79.13,27.20%
456,2018,Tony Carr,6' 3'',198.8,PG,71.74,21.70%
457,2018,Trevon Duval,6' 1.5'',191,PG,86.89,94.70%
458,2018,Troy Brown,6' 5.75'',208,WING,76.14,15.80%
459,2018,Tyus Battle,6' 5'',200.2,WING,86.07,62.40%
460,2018,Udoka Azubuike,6' 10'',273.8,BIG,107.4,99.00%
461,2018,Yante Maten,6' 7.25'',246.2,BIG,88.85,46.60%
462,2018,Zhaire Smith,6' 2.75'',198.6,WING,87.54,69.50%
463,2017,Cameron Oliver,6' 7'',238.6,BIG,89.21,48.50%
464,2017,Damyean Dotson,6' 4.5'',205.2,WING,86.71,65.50%
465,2017,Davon Reed,6' 4.5'',206.2,WING,80.78,34.90%
466,2017,Derrick Walton Jr.,5' 11'',188.6,PG,71.02,18.50%
467,2017,Derrick White,6' 3.25'',189.8,PG,80.75,74.10%
468,2017,Devin Robinson,6' 7'',189.6,WING,89.18,76.70%
469,2017,Dillon Brooks,6' 5'',220.2,WING,90.45,81.50%
470,2017,Donovan Mitchell,6' 1.25'',211.4,WING,99.27,98.10%
471,2017,Dwayne Bacon,6' 4.75'',221.6,WING,88.71,74.70%
472,2017,Edrice Adebayo,6' 8.75'',242.6,BIG,103.58,96.60%
473,2017,Frank Jackson,6' 2'',201.6,PG,91.66,99.10%
474,2017,Frank Mason III,5' 11'',188.8,PG,86.22,93.50%
475,2017,Hamidou Diallo,6' 3.75'',197.4,WING,90.07,80.10%
476,2017,Harry Giles,6' 9.25'',232,BIG,84.83,27.20%
477,2017,Ike Anigbogu,6' 8.5'',252.2,BIG,96.76,82.70%
478,2017,Isaiah Briscoe,6' 1.25'',222.4,PG,84.5,89.20%
479,2017,Isaiah Hicks,6' 7.25'',233.4,BIG,95.78,79.30%
480,2017,Ivan Rabb,6' 8.75'',219.6,BIG,84.68,26.50%
481,2017,Jamel Artis,6' 5.5'',213.2,WING,72.23,6.40%
482,2017,Jaron Blossomgame,6' 5.75'',218.6,WING,89.93,79.60%
483,2017,Jarrett Allen,6' 9'',233.6,BIG,95.76,79.20%
484,2017,Jawun Evans,5' 10.75'',185.2,PG,72.87,27.30%
485,2017,John Collins,6' 8.25'',225.2,BIG,96.47,81.70%
486,2017,Jordan Bell,6' 7'',223.6,BIG,92.63,65.80%
487,2017,Josh Hart,6' 3.75'',209.2,WING,79.66,29.60%
488,2017,Justin Jackson (UMD),6' 5.75'',219.4,WING,80.27,32.40%
489,2017,Justin Jackson (UNC),6' 7'',200.8,WING,81.14,36.70%
490,2017,Justin Patton,6' 10'',229,BIG,81.68,15.40%
491,2017,Kadeem Allen,6' 1'',192.4,PG,85.39,91.60%
492,2017,Kennedy Meeks,6' 8.75'',276.6,BIG,100.01,91.40%
493,2017,Kobi Simmons,6' 3.25'',166.2,PG,72.47,25.20%
494,2017,Kyle Kuzma,6' 8'',222.6,WING,82.29,42.50%
495,2017,Melo Trimble,6' 1.25'',195.2,PG,69.84,13.90%
496,2017,Monte Morris,6' 1.25'',175.2,PG,70.9,18.00%
497,2017,Moritz Wagner,6' 10'',231.2,BIG,81.16,13.90%
498,2017,Nigel Hayes,6' 6.25'',254.2,BIG,96.12,80.50%
499,2017,Nigel Williams-Goss,6' 1.5'',190.2,PG,74.26,35.10%
500,2017,Omer Yurtseven,6' 10.5'',248.4,BIG,86.89,36.70%
501,2017,Peter Jok,6' 4.25'',202.4,WING,75.69,14.40%
502,2017,PJ Dozier,6' 5.25'',200.6,WING,90.1,80.20%
503,2017,Rawle Alkins,6' 2.5'',222.6,WING,92.37,87.50%
504,2017,Semi Ojeleye,6' 5.25'',241.4,WING,106.85,99.90%
505,2017,Sindarius Thornwell,6' 3.5'',211.6,WING,79.22,27.60%
506,2017,Svi Mykhailiuk,6' 6.5'',219.6,WING,81.47,38.30%
507,2017,Terrance Ferguson,6' 5.5'',184.4,WING,74.45,11.00%
508,2017,Thomas Bryant,6' 9.5'',247.8,BIG,85.56,30.40%
509,2017,TJ Leaf,6' 8.75'',222.2,BIG,86.61,35.30%
510,2017,Tony Bradley,6' 9.25'',248.8,BIG,83.26,20.80%
511,2017,Tyler Dorsey,6' 3'',182.6,WING,77.59,20.90%
512,2017,Tyler Lydon,6' 8.25'',215,BIG,85.5,30.10%
513,2017,V.J. Beachem,6' 6.25'',193.4,WING,79.95,30.90%
514,2017,Wesley Iwundu,6' 5.5'',193.4,WING,82.82,45.40%
515,2016,Ben Bentil,6' 7.25'',229.2,BIG,88.63,45.40%
516,2016,Brice Johnson,6' 9'',208.6,BIG,91.79,61.70%
517,2016,Cheick Diallo,6' 7.5'',218.6,BIG,89.82,51.60%
518,2016,Chinanu Onuaku,6' 9'',245.2,BIG,89.73,51.20%
519,2016,Damian Jones,6' 10.25'',243.6,BIG,109.88,99.60%
520,2016,Daniel Hamilton,6' 6.25'',197,WING,73.15,8.10%
521,2016,DeAndre Bembry,6' 4.25'',206.6,WING,88.18,72.40%
522,2016,Demetrius Jackson,6' 0'',193.8,PG,94.7,99.80%
523,2016,Denzel Valentine,6' 4'',210.4,WING,78.85,26.00%
524,2016,Diamond Stone,6' 9'',254.4,BIG,91.07,58.00%
525,2016,Dorian Finney-Smith,6' 6.5'',212.6,WING,91.11,83.70%
526,2016,Gary Payton II,6' 2'',183.8,PG,79.81,69.00%
527,2016,Georges Niang,6' 6.75'',230.8,BIG,79.9,10.60%
528,2016,Isaiah Cousins,6' 3.25'',194,PG,81.13,76.00%
529,2016,Isaiah Whitehead,6' 3.25'',210,COMBO G,79.87,50.40%
530,2016,Jake Layman,6' 8'',208.6,WING,90.79,82.70%
531,2016,Jaron Blossomgame,6' 6.25'',213.6,WING,96.87,96.00%
532,2016,Jarrod Uthoff,6' 8.5'',214.4,BIG,84.23,24.60%
533,2016,Joel Bolomboy,6' 7.5'',224.4,BIG,106.23,98.50%
534,2016,Josh Hart,6' 4'',203.6,WING,82.15,41.80%
535,2016,Justin Jackson,6' 7'',193.4,WING,78.88,26.10%
536,2016,Kay Felder,5' 8.25'',177.2,PG,84.87,90.30%
537,2016,Kyle Wiltjer,6' 8.75'',242.8,BIG,91.5,60.20%
538,2016,Malachi Richardson,6' 4.75'',199.6,WING,87.77,70.60%
539,2016,Malcolm Brogdon,6' 3.75'',223,WING,90.13,80.30%
540,2016,Malik Newman,6' 2.25'',182.2,WING,76.52,17.00%
541,2016,Marcus Lee,6' 9'',211,BIG,82.1,16.80%
542,2016,Marcus Paige,6' 0.5'',163.8,PG,76.62,49.60%
543,2016,Marquese Chriss,6' 8.75'',233,BIG,97.94,86.30%
544,2016,Melo Trimble,6' 1.25'',191.8,PG,72.78,26.80%
545,2016,Michael Gbinije,6' 5.5'',204.6,WING,90.51,81.70%
546,2016,Nigel Hayes,6' 6.25'',245,COMBO F,84.8,36.50%
