PLAYER,TEAM,PRHandlerFreq%,PRHandlerPercentile
Kentavious Caldwell-Pope,ORL,9.5,39.2
Keon Ellis,SAC,6.5,90.5
Keon Johnson,BKN,13.7,16.9
Kevin Durant,PHX,15.9,65.9
Kevin Huerter,CHI,11.4,32.9
Kevin Huerter,SAC,4.7,82.6
Kevin Porter Jr.,MIL,41.5,91.4
Kevin Porter Jr.,LAC,29.6,45.7
Keyonte George,UTA,31.6,43.3
Khris Middleton,MIL,29.2,63.8
Khris Middleton,WAS,28.1,82.6
Killian Hayes,BKN,29.3,30.1
Klay Thompson,DAL,7.2,39.5
Kobe Bufkin,ATL,26.6,41.8
Kris Dunn,LAC,5.6,22
Kyle Anderson,MIA,12.9,10.7
Kyle Anderson,GSW,6.5,5.1
Kyle Filipowski,UTA,2.3,96.1
Kyle Kuzma,WAS,19.1,17.5
Kyle Kuzma,MIL,12.3,62.6
Kyle Lowry,PHI,17.5,7.1
Kyrie Irving,DAL,22.7,92
Kyshawn George,WAS,16.9,36.2
LaMelo Ball,CHA,37.2,61.7
Landry Shamet,NYK,4.2,97.9
Lauri Markkanen,UTA,2.6,73.5
LeBron James,LAL,17.8,59.3
Lester Quinones,NOP,21.2,8.4
Lonnie Walker IV,PHI,23.7,23.1
Lonzo Ball,CHI,18.3,75.4
Luguentz Dort,OKC,3.9,58.2
Luka Dončić,LAL,30.7,69.4
Luka Dončić,DAL,37.2,75.7
Luke Kennard,MEM,12.3,34.7
Malcolm Brogdon,WAS,40.8,55.8
Malik Beasley,DET,10.5,17.8
Malik Monk,SAC,27.7,62.3
Marcus Garrett,CHA,34.3,82.6
Marcus Sasser,DET,35.8,78.3
Marcus Smart,WAS,28.7,56.1
Marcus Smart,MEM,9,3.9
Matas Buzelis,CHI,7.2,24
Max Christie,DAL,14.2,16
Max Christie,LAL,11.3,6.5
Max Strus,CLE,5.4,26.9
Michael Porter Jr.,DEN,4.4,60.2
Mikal Bridges,NYK,12.9,82.6
Mike Conley,MIN,29.2,54.6
Miles Bridges,CHA,25.5,46.3
Miles McBride,NYK,19.1,84
Monte Morris,PHX,27,32
Moses Moody,GSW,2.9,26.9
Naji Marshall,DAL,13.3,89.3
Naz Reid,MIN,4.3,60.5
Nic Claxton,BKN,2.2,55.1
Nick Smith Jr.,CHA,27.7,48.7
Nickeil Alexander-Walker,MIN,18.3,13.1
Nikola Jokić,DEN,6.8,79.5
Nikola Jović,MIA,9.1,33.2
Norman Powell,LAC,18.8,90.2
OG Anunoby,NYK,5.6,95.8
Obi Toppin,IND,4,92.3
Ochai Agbaji,TOR,5.3,55.1
Ousmane Dieng,OKC,12,8.4
P.J. Washington,DAL,10.9,26.4
Paolo Banchero,ORL,24.1,59.9
Pascal Siakam,IND,4.1,17.2
Pat Connaughton,MIL,15.4,82.6
Patrick Williams,CHI,11.1,23.4
Patty Mills,UTA,18.3,0.6
Paul George,PHI,24.5,41.2
Payton Pritchard,BOS,17.2,94.7
Pelle Larsson,MIA,7.1,44
Peyton Watson,DEN,2.6,68.8
Quentin Grimes,PHI,24.2,36.5
Quentin Grimes,DAL,10.3,74.5
Quenton Jackson,IND,19.7,87.8
RJ Barrett,TOR,21.3,50.4
Reece Beekman,BKN,23.4,1.5
Reed Sheppard,HOU,23.7,18.1
Reggie Jackson,PHI,23.5,51.3
Ricky Council IV,PHI,7.4,6.2
Rob Dillingham,MIN,35.9,29.7
Ronald Holland II,DET,8,38.3
Royce O'Neale,PHX,1.5,1.2
Russell Westbrook,DEN,20.2,11
Ryan Dunn,PHX,1.9,7.7
Ryan Rollins,MIL,24.3,40.4
Sam Hauser,BOS,4,99.7
Sam Merrill,CLE,3,20.2
Scoot Henderson,POR,31.3,41.5
Scottie Barnes,TOR,20,45.1
Scotty Pippen Jr.,MEM,12.6,11.9
Seth Curry,CHA,15.6,96.4
Shaedon Sharpe,POR,25.2,67.1
Shai Gilgeous-Alexander,OKC,34.2,94.4
Shake Milton,BKN,27.7,27.9
Shake Milton,LAL,21.9,40.7
Simone Fontecchio,DET,3.5,9.6
Spencer Dinwiddie,DAL,26.2,63.5
Stephen Curry,GSW,25.4,49.9
Stephon Castle,SAS,23.7,37.4
Svi Mykhailiuk,UTA,20.9,31.8
T.J. McConnell,IND,50.5,65.3
Talen Horton-Tucker,CHI,28.5,79.2
Tari Eason,HOU,4.2,82.6
Taurean Prince,MIL,6.8,1.8
Terance Mann,ATL,9.1,89.6
Terance Mann,LAC,8.9,50.1
Terry Rozier,MIA,25.2,31.2
Tidjane Salaün,CHA,11.8,3
Tim Hardaway Jr.,DET,6.2,38.9
Tobias Harris,DET,8.4,38.6
Tosan Evbuomwan,BKN,7.8,54
Toumani Camara,POR,2.8,28.7
Trae Young,ATL,47.5,70.9
Tre Jones,CHI,25.3,73.5
Tre Jones,SAS,24.6,36.9
Tre Mann,CHA,41.8,55.5
Trendon Watford,BKN,20.9,57.1
Trevelin Queen,ORL,19.6,35.3
Trey Murphy III,NOP,15,29.4
Tristan da Silva,ORL,11.7,52.2
Ty Jerome,CLE,42.9,87.2
Tyler Herro,MIA,33.1,62.9
Tyrese Haliburton,IND,38.4,95.5
Tyrese Martin,BKN,15.1,30.1
Tyrese Maxey,PHI,33.1,77.2
Tyus Jones,PHX,28,39.8
Vasilije Micic,CHA,54,19.6
Victor Wembanyama,SAS,7.4,22.8
Vince Williams Jr.,MEM,6.2,30.6
Vít Krejčí,ATL,13.5,74.8
Wendell Moore Jr.,DET,17.2,97.9
Zaccharie Risacher,ATL,5.7,43
Zach LaVine,CHI,26.7,78.6
Zach LaVine,SAC,24.3,52.8
Ziaire Williams,BKN,3.7,18.8
Zion Williamson,NOP,15.4,84.3
