player_name,team,position,height_in,wingspan_in,length_in
Nikola Vučević,CHI,C,82.25,88.5,6.25
Myles Turner,MIL,C,81.75,88.0,6.25
Bol Bol,,C,84.75,91.0,6.25
Herbert Jones,NOP,SF,78.0,84.25,6.25
Immanuel Quickley,TOR,PG,74.0,80.25,6.25
Jeff Green,HOU,PF,79.0,85.25,6.25
Blake Wesley,POR,PG,75.0,81.25,6.25
Ausar Thompson,DET,SF,77.75,84.0,6.25
Amen Thompson,HOU,SF,77.75,84.0,6.25
Hunter Sallis,PHI,SG,75.75,82.0,6.25
Dereck Lively II,DAL,C,85.0,91.0,6.0
Damian Lillard,POR,PG,73.75,79.75,6.0
Jalen Hood-Schifino,,PG,76.25,82.25,6.0
Christian Wood,,PF,81.25,87.25,6.0
Anthony Edwards,MIN,SG,75.0,81.0,6.0
Dylan Harper,SAS,PG,76.5,82.5,6.0
JD Davison,HOU,PG,72.5,78.5,6.0
Markelle Fultz,,PG,75.0,81.0,6.0
Robin Lopez,,C,83.5,89.5,6.0
Bam Adebayo,MIA,C,80.75,86.75,6.0
Victor Oladipo,,SG,75.25,81.25,6.0
Cason Wallace,OKC,PG,74.5,80.5,6.0
Derrick Jones Jr.,LAC,PF,78.0,84.0,6.0
Chet Holmgren,OKC,C,84.0,90.0,6.0
Gary Payton II,GSW,SG,74.0,80.0,6.0
Alijah Martin,TOR,SG,73.5,79.5,6.0
Justin Holiday,,SG,77.5,83.5,6.0
Malaki Branham,WAS,SG,76.0,82.0,6.0
Cam Reddish,,SF,78.5,84.5,6.0
AJ Griffin,,SF,77.5,83.5,6.0
Orlando Robinson,ORL,C,82.0,88.0,6.0
Usman Garuba,,PF,80.0,86.0,6.0
Nathan Knight,,PF,80.0,86.0,6.0
Larry Nance Jr.,CLE,C,79.5,85.5,6.0
Jonas Valančiūnas,DEN,C,83.0,89.0,6.0
Khaman Maluach,PHX,C,84.75,90.75,6.0
Ricky Rubio,,PG,75.0,81.0,6.0
Josh Christopher,,SG,75.25,81.25,6.0
Devonte' Graham,,PG,72.25,78.25,6.0
Otto Porter Jr.,,PF,79.5,85.5,6.0
Kris Dunn,LAC,PG,75.0,81.0,6.0
Dejounte Murray,NOP,PG,76.0,82.0,6.0
Boban Marjanovic,,C,88.0,94.0,6.0
Marcus Sasser,DET,PG,73.25,79.0,5.75
Luguentz Dort,OKC,SG,74.75,80.5,5.75
TyTy Washington Jr.,LAC,PG,74.25,80.0,5.75
Bruce Brown,DEN,SG,75.25,81.0,5.75
Bronny James,LAL,PG,73.5,79.25,5.75
Steven Adams,HOU,C,82.75,88.5,5.75
Danny Wolf,BKN,PF,80.5,86.25,5.75
Onyeka Okongwu,ATL,C,80.25,86.0,5.75
Adou Thiero,LAL,SF,78.25,84.0,5.75
Maxwell Lewis,,SG,78.25,84.0,5.75
Thaddeus Young,,PF,77.75,83.5,5.75
Ochai Agbaji,TOR,SG,76.5,82.25,5.75
Ja'Kobe Walter,TOR,PG,76.25,82.0,5.75
Peyton Watson,DEN,SF,78.75,84.5,5.75
Jase Richardson,ORL,SG,72.5,78.0,5.5
Jordan McLaughlin,SAS,PG,71.0,76.5,5.5
Buddy Hield,GSW,SG,75.75,81.25,5.5
Toumani Camara,POR,PF,79.0,84.5,5.5
James Wiseman,IND,C,83.5,89.0,5.5
Tre Johnson,WAS,SG,76.75,82.25,5.5
Neemias Queta,BOS,C,82.75,88.25,5.5
Guerschon Yabusele,NYK,PF,79.5,85.0,5.5
Bogdan Bogdanović,LAC,SG,77.5,83.0,5.5
Russell Westbrook,,PG,74.25,79.75,5.5
Cody Martin,,SF,76.75,82.25,5.5
Jaden Hardy,DAL,SG,75.5,81.0,5.5
Jaden Ivey,DET,SG,75.5,81.0,5.5
Damian Jones,,C,82.25,87.75,5.5
Richaun Holmes,,C,80.25,85.5,5.25
Jalen Pickett,DEN,PG,74.0,79.25,5.25
Aaron Wiggins,OKC,SG,76.5,81.75,5.25
Josh Green,CHA,SG,76.5,81.75,5.25
Precious Achiuwa,,PF,79.5,84.75,5.25
Jaxson Hayes,LAL,C,82.25,87.5,5.25
Daniel Gafford,DAL,C,81.25,86.5,5.25
Joel Embiid,PHI,C,83.75,89.0,5.25
Carter Bryant,SAS,PF,78.5,83.75,5.25
Dorian Finney-Smith,HOU,SF,78.5,83.75,5.25
Moussa Diabaté,CHA,C,81.25,86.5,5.25
Chaz Lanier,DET,SG,75.75,81.0,5.25
Nickeil Alexander-Walker,ATL,SG,76.25,81.5,5.25
Obi Toppin,IND,PF,80.75,86.0,5.25
Joshua Primo,,SG,76.0,81.25,5.25
Anton Watson,,PF,79.0,84.0,5.0
Aaron Nesmith,IND,SF,77.0,82.0,5.0
Alec Burks,,SG,77.0,82.0,5.0
Andrew Wiggins,MIA,SF,79.0,84.0,5.0
Brandon Boston,NOP,SG,77.75,82.75,5.0
Brice Sensabaugh,UTA,SF,78.0,83.0,5.0
Chuma Okeke,,PF,79.0,84.0,5.0
Colin Castleton,,C,83.0,87.5,5.0
Devin Vassell,SAS,SG,77.0,82.0,5.0
Evan Mobley,CLE,PF,83.0,88.0,5.0
Jalen Smith,CHI,PF,81.25,86.25,5.0
Jaylen Clark,MIN,SG,76.0,81.0,5.0
Jericho Sims,MIL,C,82.0,87.0,5.0
Josh Richardson,,SF,77.0,82.0,5.0
Kenneth Lofton Jr.,,C,78.0,83.0,5.0
Keon Ellis,SAC,SG,75.5,80.5,5.0
Mouhamed Gueye,ATL,C,82.25,87.25,5.0
Ace Bailey,UTA,SF,79.5,84.5,5.0
RJ Barrett,TOR,SF,77.0,82.0,5.0
Royce O'Neale,PHX,SF,76.0,81.0,5.0
Taurean Prince,MIL,SF,78.5,83.5,5.0
Tyrese Maxey,PHI,PG,74.0,79.0,5.0
Nolan Traore,BKN,PG,75.0,80.0,5.0
Donovan Clingan,POR,C,85.75,90.75,5.0
Ryan Kalkbrenner,CHA,C,85.0,90.0,5.0
Troy Brown Jr.,,SF,77.75,82.75,5.0
Isaiah Jackson,IND,C,81.5,86.25,4.75
Bradley Beal,LAC,SG,75.25,80.0,4.75
Leonard Miller,MIN,PF,81.25,86.0,4.75
Al Horford,,C,80.0,84.75,4.75
Zeke Nnaji,DEN,PF,81.25,86.0,4.75
James Bouknight,,SG,75.5,80.25,4.75
Danny Green,,SG,77.25,82.0,4.75
Kel'el Ware,MIA,C,83.75,88.5,4.75
Zion Williamson,NOP,PF,77.75,82.5,4.75
Kendall Brown,,SF,78.25,83.0,4.75
Nicolas Batum,LAC,SF,80.25,85.0,4.75
Theo Maledon,,PG,76.0,80.75,4.75
Jaden Springer,NOP,SG,75.0,79.75,4.75
Julian Phillips,CHI,SF,78.75,83.5,4.75
Jordan Clarkson,NYK,SG,75.25,80.0,4.75
Trayce Jackson-Davis,GSW,C,80.25,85.0,4.75
Isaiah Joe,OKC,SG,75.0,79.5,4.5
Ivica Zubac,LAC,C,83.5,88.0,4.5
Max Christie,DAL,SG,76.25,80.75,4.5
Josh Hart,NYK,SF,75.75,80.25,4.5
Bennedict Mathurin,IND,SF,76.5,81.0,4.5
Bobby Portis,MIL,PF,81.5,86.0,4.5
Jarred Vanderbilt,LAL,PF,80.5,85.0,4.5
Karl-Anthony Towns,NYK,C,83.0,87.5,4.5
Keldon Johnson,SAS,SF,76.75,81.25,4.5
Alex Sarr,WAS,PF,83.75,88.25,4.5
Tyus Jones,ORL,PG,72.5,77.0,4.5
Trey Murphy III,NOP,SF,79.5,84.0,4.5
Trey Lyles,SAC,PF,81.0,85.5,4.5
