player_name,team,position,height_in,wingspan_in,length_in
Gordon Hayward,,SF,78.75,79.75,1.0
Micah Peavy,NOP,SG,78.25,79.25,1.0
Christian Braun,DEN,SF,77.5,78.5,1.0
Corey Kispert,WAS,SF,78.0,79.0,1.0
Jett Howard,ORL,SF,80.0,81.0,1.0
Dean Wade,CLE,PF,81.0,82.0,1.0
Brandon Clarke,MEM,PF,79.25,80.25,1.0
Dillon Brooks,PHX,SF,77.0,78.0,1.0
Luke Kennard,ATL,SG,76.5,77.25,0.75
Jaylen Wells,MEM,SF,78.5,79.25,0.75
Tre Mann,CHA,PG,75.25,76.0,0.75
Emoni Bates,,SF,80.25,81.0,0.75
Johnny Furphy,IND,SF,79.5,80.0,0.5
Dario Šarić,SAC,PF,81.5,82.0,0.5
Will Riley,WAS,SF,80.25,80.75,0.5
Amir Coffey,,SF,78.75,79.25,0.5
Santi Aldama,MEM,PF,82.75,83.0,0.25
Davis Bertans,,PF,82.0,82.0,0.0
Luke Kornet,SAS,C,85.0,85.0,0.0
Lauri Markkanen,UTA,PF,83.0,83.0,0.0
Kyle Filipowski,UTA,PF,82.75,82.5,0.25
Deni Avdija,POR,SF,80.75,80.5,0.25
Ty Jerome,MEM,PG,76.25,76.0,0.25
Mason Plumlee,CHA,C,83.25,83.0,0.25
Josh Giddey,CHI,SF,80.0,79.5,0.5
Koby Brea,PHX,SG,77.75,77.25,0.5
Desmond Bane,ORL,SG,77.0,76.25,0.75
Kyle Kuzma,MIL,PF,80.0,79.0,1.0
Kelly Olynyk,SAS,C,82.75,81.75,1.0
Tyler Herro,MIA,SG,76.5,75.25,1.25
Svi Mykhailiuk,UTA,SG,78.5,77.0,1.5
