player_name,height_inches,weight_lbs,wingspan_in
Luke Kornet,85,250.0,85.0
Jonathan Kuminga,79,225.0,83.25
Kyle Kuzma,81,221.0,79.0
Jake LaRavia,79,235.0,81.5
Zach LaVine,77,200.0,80.25
Jock Landale,83,255.0,86.0
Caris LeVert,79,205.0,82.0
Alex Len,84,250.0,87.5
Kawhi Leonard,78,225.0,87.0
Maxwell Lewis,79,215.0,84.0
E.J. Liddell,78,240.0,83.75
Damian Lillard,74,200.0,79.75
Dereck Lively II,85,230.0,91.0
Kevon Looney,81,222.0,87.5
Brook Lopez,85,282.0,89.5
Kevin Love,82,251.0,83.25
Kyle Lowry,72,196.0,74.0
Trey Lyles,81,234.0,85.5
Sandro Mamukelashvili,81,240.0,85.25
Terance Mann,78,215.0,79.75
Tre Mann,75,178.0,76.0
Lauri Markkanen,85,240.0,83.0
Naji Marshall,78,220.0,84.75
Caleb Martin,77,205.0,82.25
Cody Martin,78,205.0,82.25
KJ Martin,78,215.0,79.25
Bennedict Mathurin,77,210.0,81.0
Tyrese Maxey,74,200.0,79.0
Miles McBride,74,195.0,80.75
Jared McCain,75,195.0,75.5
CJ McCollum,75,190.0,78.25
T.J. McConnell,73,190.0,74.0
Kevin McCullar Jr.,78,210.0,81.0
Jaden McDaniels,81,185.0,83.0
Jalen McDaniels,81,190.0,84.25
Doug McDermott,78,225.0,81.25
Bryce McGowens,78,190.0,80.75
Jordan McLaughlin,71,185.0,76.5
De'Anthony Melton,75,200.0,80.5
Sam Merrill,76,205.0,77.0
Vasilije Micic,75,188.0,79.0
Khris Middleton,79,222.0,82.75
Brandon Miller,79,200.0,83.5
Jordan Miller,77,194.0,83.75
Leonard Miller,82,220.0,86.0
Patty Mills,74,180.0,74.0
Shake Milton,77,205.0,84.75
Josh Minott,80,205.0,83.75
Yves Missi,83,235.0,86.0
Ajay Mitchell,77,190.0,78.25
Davion Mitchell,72,202.0,76.25
Donovan Mitchell,75,215.0,82.0
Evan Mobley,83,215.0,88.0
Isaiah Mobley,80,238.0,87.0
Jonathan Mogbo,81,225.0,86.0
Malik Monk,75,200.0,77.0
Moses Moody,77,211.0,84.75
Wendell Moore Jr.,77,215.0,84.75
Ja Morant,74,174.0,78.0
Markieff Morris,81,245.0,82.75
Monté Morris,74,183.0,76.0
Trey Murphy III,80,206.0,84.0
Dejounte Murray,76,180.0,82.0
Jamal Murray,76,215.0,78.5
Keegan Murray,80,225.0,83.0
Kris Murray,80,218.0,83.75
Svi Mykhailiuk,79,205.0,77.0
Larry Nance Jr.,80,245.0,85.5
Andrew Nembhard,76,191.0,77.75
Aaron Nesmith,77,215.0,82.0
Georges Niang,78,230.0,82.0
Zeke Nnaji,81,240.0,86.0
Jusuf Nurkić,83,290.0,86.0
Royce O'Neale,78,226.0,81.0
Chuma Okeke,79,229.0,84.0
Josh Okogie,76,213.0,84.0
Onyeka Okongwu,82,240.0,86.0
Isaac Okoro,77,225.0,80.5
Kelly Olynyk,84,240.0,81.75
Kelly Oubre Jr.,80,203.0,86.25
Chris Paul,72,175.0,76.0
Cameron Payne,75,183.0,79.25
Gary Payton II,74,195.0,80.0
Julian Phillips,80,198.0,83.5
Jalen Pickett,74,202.0,79.25
Mason Plumlee,82,254.0,83.0
Brandin Podziemski,76,205.0,77.5
Jakob Poeltl,84,253.0,86.75
Jordan Poole,76,194.0,78.75
Craig Porter Jr.,73,180.0,76.0
Michael Porter Jr.,82,218.0,84.0
Bobby Portis,82,250.0,86.0
Kristaps Porziņģis,86,240.0,90.0
Dwight Powell,82,240.0,84.5
Norman Powell,75,215.0,82.75
Taurean Prince,78,218.0,83.5
Payton Pritchard,73,195.0,76.0
Olivier-Maxence Prosper,79,230.0,85.0
Neemias Queta,84,248.0,88.25
Immanuel Quickley,74,190.0,80.25
Julius Randle,81,250.0,84.0
Duop Reath,81,245.0,85.0
Austin Reaves,77,197.0,78.25
Cam Reddish,79,217.0,84.5
Paul Reed,81,210.0,85.5
Naz Reid,81,264.0,87.25
Nick Richards,83,245.0,86.25
Josh Richardson,77,200.0,82.0
Zaccharie Risacher,80,200.0,82.5
Orlando Robinson,82,235.0,88.0
Jeremiah Robinson-Earl,81,240.0,81.75
David Roddy,77,255.0,83.5
Ryan Rollins,75,180.0,81.75
Terry Rozier,73,190.0,80.25
D'Angelo Russell,75,193.0,81.75
Domantas Sabonis,82,240.0,83.0
Tidjane Salaün,80,207.0,84.75
Alex Sarr,84,205.0,88.25
Marcus Sasser,73,195.0,79.0
Baylor Scheierman,78,205.0,80.25
Dennis Schröder,73,175.0,79.75
Alperen Sengun,83,243.0,84.5
Brice Sensabaugh,78,235.0,83.0
Collin Sexton,75,190.0,79.25
Landry Shamet,77,190.0,78.75
Terrence Shannon Jr.,78,215.0,80.75
Day'Ron Sharpe,82,265.0,84.0
Shaedon Sharpe,77,210.0,83.5
Jamal Shead,73,200.0,75.0
Ben Sheppard,78,190.0,79.75
Reed Sheppard,74,185.0,75.25
Pascal Siakam,80,245.0,87.25
Ben Simmons,82,240.0,84.5
Anfernee Simons,75,200.0,81.25
Jericho Sims,82,250.0,87.0
Marcus Smart,75,220.0,81.25
Jalen Smith,81,215.0,86.25
Tyler Smith,81,224.0,85.0
Jabari Smith Jr.,82,220.0,85.0
Nick Smith Jr.,74,185.0,80.0
Jeremy Sochan,80,230.0,83.75
Cam Spencer,76,205.0,77.0
Jaden Springer,76,202.0,79.75
Lamar Stevens,79,230.0,81.0
Isaiah Stewart,80,250.0,88.75
Julian Strawther,78,205.0,81.25
Max Strus,77,215.0,79.5
Jalen Suggs,77,205.0,77.5
Cole Swider,80,220.0,83.0
Jae'Sean Tate,76,230.0,80.0
Jayson Tatum,80,210.0,83.0
Terry Taylor,76,230.0,83.5
Dalen Terry,79,195.0,84.75
Cam Thomas,75,210.0,78.5
Amen Thompson,79,200.0,84.0
Ausar Thompson,79,205.0,84.0
Klay Thompson,77,220.0,81.0
JT Thor,81,203.0,87.25
Matisse Thybulle,77,202.0,83.5
Xavier Tillman,79,245.0,86.0
Obi Toppin,81,220.0,86.0
Karl-Anthony Towns,84,248.0,87.5
Gary Trent Jr.,77,204.0,80.75
Oscar Tshiebwe,80,255.0,87.5
P.J. Tucker,77,245.0,83.5
Myles Turner,83,250.0,88.0
Jaylon Tyson,78,215.0,80.0
Jonas Valančiūnas,83,265.0,89.0
Fred VanVleet,72,197.0,74.0
Jarred Vanderbilt,80,214.0,85.0
Devin Vassell,77,200.0,82.0
Nikola Vučević,82,260.0,88.5
Dean Wade,81,228.0,82.0
Franz Wagner,82,220.0,83.5
Moritz Wagner,83,245.0,84.0
Jabari Walker,79,237.0,82.75
Jarace Walker,79,235.0,86.5
Lonnie Walker IV,76,204.0,82.5
Cason Wallace,75,195.0,80.5
Jordan Walsh,78,205.0,85.75
Ja'Kobe Walter,76,180.0,82.0
Kel'el Ware,84,230.0,88.5
P.J. Washington,79,230.0,86.5
TyTy Washington Jr.,75,195.0,80.0
Trendon Watford,80,237.0,86.25
Anton Watson,80,225.0,84.0
Peyton Watson,79,200.0,84.5
Jaylen Wells,80,,79.25
Victor Wembanyama,89,235.0,96.0
Blake Wesley,75,190.0,81.25
Russell Westbrook,76,200.0,79.75
Coby White,77,195.0,77.0
Derrick White,76,190.0,79.5
Dariq Whitehead,78,220.0,82.25
Cam Whitmore,78,230.0,80.5
Aaron Wiggins,77,190.0,81.75
Andrew Wiggins,78,197.0,84.0
Cody Williams,80,190.0,85.0
Grant Williams,78,236.0,81.75
Jalen Williams,77,211.0,86.25
Jaylin Williams,81,240.0,85.0
Kenrich Williams,78,210.0,79.25
Mark Williams,85,240.0,90.5
Patrick Williams,79,215.0,83.0
Ziaire Williams,81,185.0,82.25
Robert Williams III,81,249.0,89.5
Vince Williams Jr.,76,205.0,83.0
Zion Williamson,78,284.0,82.5
Jalen Wilson,78,220.0,80.0
James Wiseman,83,240.0,89.0
Isaiah Wong,75,185.0,78.75
Delon Wright,77,185.0,79.5
Guerschon Yabusele,79,265.0,85.0
Trae Young,73,164.0,75.0
Ivica Zubac,84,240.0,88.0
Tristan da Silva,80,217.0,82.25
Vlatko Čančar,80,236.0,83.0
Dario Šarić,82,225.0,82.0
