player_id,player_name,team,position,portability_score,portability_source,age,mp
1630314,Brandon Williams,,G,5.3,provided_list,26.0,487.0
202681,Kyrie Irving,,G,7.3,provided_list,33.0,1804.0
1630230,Naji Marshall,,F,5.2,provided_list,28.0,1919.0
1628997,Caleb Martin,,F,2.2,provided_list,30.0,1218.0
1630556,Kessler Edwards,,F,9.3,provided_list,25.0,608.0
1629655,Daniel Gafford,,F-C,1.9,provided_list,27.0,1226.0
1630539,Kai Jones,,C-F,4.4,provided_list,25.0,468.0
1629023,P.J. Washington,,F,5.3,provided_list,27.0,1835.0
203915,Spencer Dinwiddie,,G,6.7,provided_list,32.0,2136.0
202691,Klay Thompson,,G,7.5,provided_list,35.0,1965.0
1631128,Christian Braun,,G,5.6,provided_list,24.0,2675.0
1629008,Michael Porter Jr.,,F,6.6,provided_list,27.0,2593.0
1631124,Julian Strawther,,G,0.8,provided_list,23.0,1384.0
201566,Russell Westbrook,,G,1.4,provided_list,37.0,2092.0
1641816,Hunter Tyson,,F,1.5,provided_list,25.0,400.0
201599,DeAndre Jordan,,C,1.0,provided_list,37.0,691.0
1631212,Peyton Watson,,G,1.0,provided_list,23.0,1656.0
203967,Dario Šarić,,F-C,2.1,provided_list,31.0,210.0
1641790,PJ Hall,,C,5.0,default_5.0,,
1641747,DaRon Holmes II,,F,5.0,default_5.0,,
203999,Nikola Jokić,,C,9.5,provided_list,30.0,2571.0
1642461,Spencer Jones,,F,5.0,default_5.0,,
1630192,Zeke Nnaji,,F-C,2.5,provided_list,25.0,608.0
1641725,Trey Alexander,,G,0.9,provided_list,22.0,117.0
1629618,Jalen Pickett,,G,8.2,provided_list,26.0,666.0
1627750,Jamal Murray,,G,7.4,provided_list,28.0,2418.0
1628427,Vlatko Čančar,,F,1.2,provided_list,28.0,136.0
203932,Aaron Gordon,,F,8.3,provided_list,30.0,1447.0
1627780,Gary Payton II,,G,3.4,provided_list,33.0,927.0
1630228,Jonathan Kuminga,,F,1.0,provided_list,23.0,1144.0
1642379,Taran Armstrong,,G,5.0,default_5.0,,
1641764,Brandin Podziemski,,G,3.4,provided_list,22.0,1716.0
1630541,Moses Moody,,G,5.9,provided_list,23.0,1649.0
1626172,Kevon Looney,,F,3.4,provided_list,29.0,1142.0
1627741,Buddy Hield,,G,7.3,provided_list,32.0,1863.0
202710,Jimmy Butler III,,F,7.4,provided_list,36.0,1746.0
1630296,Braxton Key,,F,5.0,default_5.0,,
1630611,Gui Santos,,F,6.1,provided_list,23.0,762.0
1642366,Quinten Post,,C,8.2,provided_list,25.0,686.0
203110,Draymond Green,,F,9.1,provided_list,35.0,1983.0
201939,Stephen Curry,,G,9.2,provided_list,37.0,2252.0
1628995,Kevin Knox II,,F,5.0,default_5.0,,
1631218,Trayce Jackson-Davis,,F,2.7,provided_list,25.0,967.0
1642050,Jackson Rowe,,F,5.0,default_5.0,,
1630311,Pat Spencer,,G,2.5,provided_list,29.0,250.0
1628988,Aaron Holiday,,G,6.1,provided_list,29.0,792.0
1641708,Amen Thompson,,G-F,2.0,provided_list,23.0,2225.0
1629111,Jock Landale,,C,4.6,provided_list,30.0,500.0
1642368,N'Faly Dante,,C,5.0,default_5.0,,
1630224,Jalen Green,,G,3.7,provided_list,23.0,2697.0
1627832,Fred VanVleet,,G,7.5,provided_list,31.0,2111.0
1641715,Cam Whitmore,,F,1.8,provided_list,21.0,827.0
1630256,Jae'Sean Tate,,F,5.0,provided_list,30.0,588.0
1628415,Dillon Brooks,,G-F,6.3,provided_list,30.0,2388.0
1631095,Jabari Smith Jr.,,F,5.1,provided_list,22.0,1716.0
203500,Steven Adams,,C,0.5,provided_list,32.0,794.0
1642263,Reed Sheppard,,G,2.4,provided_list,21.0,654.0
1631106,Tari Eason,,F,3.1,provided_list,24.0,1420.0
1631466,Nate Williams,,G,0.1,provided_list,26.0,147.0
1630578,Alperen Sengun,,C,4.5,provided_list,23.0,2395.0
201145,Jeff Green,,F,7.4,provided_list,39.0,396.0
1631223,David Roddy,,F,1.7,provided_list,24.0,410.0
1629098,Jack McVeigh,,G-F,5.0,default_5.0,,
201935,James Harden,,G,9.3,provided_list,36.0,2789.0
202695,Kawhi Leonard,,F,8.5,provided_list,34.0,1180.0
1641754,Seth Lundy,,G-F,5.0,default_5.0,,
1629599,Amir Coffey,,G-F,5.9,provided_list,28.0,1748.0
1627739,Kris Dunn,,G,3.3,provided_list,31.0,1783.0
1642280,Trentyn Flowers,,F,5.0,default_5.0,,
203992,Bogdan Bogdanović,,G,7.6,provided_list,33.0,1348.0
1641757,Jordan Miller,,G,2.2,provided_list,26.0,420.0
1642353,Cam Christie,,G,5.0,default_5.0,,
1629234,Drew Eubanks,,F-C,1.3,provided_list,28.0,746.0
1641738,Kobe Brown,,F,2.1,provided_list,26.0,272.0
1631116,Patrick Baldwin Jr.,,F,5.0,default_5.0,,
1626181,Norman Powell,,G,6.8,provided_list,32.0,1958.0
1627732,Ben Simmons,,G-F,5.8,provided_list,29.0,1120.0
201587,Nicolas Batum,,G-F,9.3,provided_list,37.0,1367.0
1627826,Ivica Zubac,,C,4.3,provided_list,28.0,2624.0
