team,player_name,player_id,position,name_key,unnamed:_0,year,player,height,weight,position_bsp,bsparq,nba_pct,bsparq_imputed,bsparq_source
Philadelphia 76ers,Andre Drummond,203083,C,andre drummond,701,2012,Andre Drummond,6' 9.75'',278.6,BIG,110.34,99.70%,110.34,measured
Milwaukee Bucks,Andre Jackson Jr.,1641748,G,andre jackson jr,154,2023,Andre Jackson Jr.,6' 5.50'',198.4,WING,82.51,43.70%,82.51,measured
Indiana Pacers,Andrew Nembhard,1629614,G-F,andrew nembhard,210,2022,Andrew Nembhard,6' 3.00'',195.6,PG,73.89,32.90%,73.89,measured
Miami Heat,Andrew Wiggins,203952,F,andrew wiggins,,,,,,,,,85.83,imputed
Portland Trail Blazers,Anfernee Simons,1629014,G,anfernee simons,410,2018,Anfernee Simons,6' 2.25'',183.2,COMBO G,80.5,53.70%,80.5,measured
Orlando Magic,Anthony Black,1641710,G,anthony black,155,2023,Anthony Black,6' 5.75'',210,PG,89.32,97.70%,89.32,measured
Dallas Mavericks,Anthony Davis,203076,F-C,anthony davis,,,,,,,,,95.17,imputed
Minnesota Timberwolves,Anthony Edwards,1630162,G,anthony edwards,,,,,,,,,80.625,imputed
Washington Wizards,Anthony Gill,1630264,F,anthony gill,,,,,,,,,85.83,imputed
New York Knicks,Anton Watson,1641817,F,anton watson,,,,,,,,,85.83,imputed
New Orleans Pelicans,Antonio Reeves,1641810,G,antonio reeves,79,2024,Antonio Reeves,6' 4.50'',186.6,WING,75.99,15.30%,75.99,measured
New York Knicks,Ariel Hukporti,1630574,C,ariel hukporti,261,2021,Ariel Hukporti,6'10.75'',246,BIG,82.63,18.50%,82.63,measured
Detroit Pistons,Ausar Thompson,1641709,G-F,ausar thompson,,,,,,,,,84.81,imputed
Los Angeles Lakers,Austin Reaves,1630559,G,austin reaves,262,2021,Austin Reaves,6'4.5'',197.2,WING,71.35,5.00%,71.35,measured
Chicago Bulls,Ayo Dosunmu,1630245,G,ayo dosunmu,263,2021,Ayo Dosunmu,6'3.5'',194.4,WING,74.42,10.90%,74.42,measured
Miami Heat,Bam Adebayo,1628389,C-F,bam adebayo,,,,,,,,,89.695,imputed
Boston Celtics,Baylor Scheierman,1631248,G,baylor scheierman,80,2024,Baylor Scheierman,6' 6.25'',201.6,WING,77.36,20.00%,77.36,measured
Indiana Pacers,Ben Sheppard,1641767,G,ben sheppard,158,2023,Ben Sheppard,6' 5.25'',194.6,WING,79.32,28.00%,79.32,measured
Los Angeles Clippers,Ben Simmons,1627732,G-F,ben simmons,,,,,,,,,84.81,imputed
Indiana Pacers,Bennedict Mathurin,1631097,G-F,bennedict mathurin,,,,,,,,,84.81,imputed
Washington Wizards,Bilal Coulibaly,1641731,G,bilal coulibaly,,,,,,,,,80.625,imputed
San Antonio Spurs,Bismack Biyombo,202687,C,bismack biyombo,,,,,,,,,93.27,imputed
San Antonio Spurs,Blake Wesley,1631104,G,blake wesley,211,2022,Blake Wesley,6' 3.00'',187.2,WING,78.11,22.90%,78.11,measured
Milwaukee Bucks,Bobby Portis,1626171,F,bobby portis,561,2015,Bobby Portis,6' 9.5'',246.2,BIG,83.85,23.10%,83.85,measured
