player_name,player_id,athleticism_score,athleticism_source,position
Jae'Sean Tate,1630256,,imputed,F
Dillon Brooks,1628415,90.45,measured,G-F
Jabari Smith Jr.,1631095,,imputed,F
Steven Adams,203500,94.92,measured,C
Reed Sheppard,1642263,80.96,measured,G
Tari Eason,1631106,,imputed,F
Nate Williams,1631466,,imputed,G
Alperen Sengun,1630578,,imputed,C
Jeff Green,201145,98.54,measured,F
David Roddy,1631223,92.98,measured,F
Jack McVeigh,1629098,,imputed,G-F
James Harden,201935,92.14,measured,G
Kawhi Leonard,202695,80.17,measured,F
Seth Lundy,1641754,89.67,measured,G-F
Amir Coffey,1629599,,imputed,G-F
Kris Dunn,1627739,,imputed,G
Trentyn Flowers,1642280,91.42,measured,F
Bogdan Bogdanović,203992,,imputed,G
Jordan Miller,1641757,83.17,measured,G
Cam Christie,1642353,83.77,measured,G
Drew Eubanks,1629234,,imputed,F-C
Kobe Brown,1641738,94.3,measured,F
Patrick Baldwin Jr.,1631116,76.41,measured,F
Norman Powell,1626181,92.24,measured,G
Ben Simmons,1627732,,imputed,G-F
Nicolas Batum,201587,,imputed,G-F
Ivica Zubac,1627826,,imputed,C
Derrick Jones Jr.,1627884,,imputed,F
Patty Mills,201988,70.11,measured,G
Jarred Vanderbilt,1629020,,imputed,F
Dalton Knecht,1642261,87.92,measured,F
Gabe Vincent,1629216,,imputed,G
Bronny James,1642355,89.5,measured,G
Christian Koloko,1631132,83.99,measured,C
Jaxson Hayes,1629637,81.12,measured,C-F
Maxi Kleber,1628467,,imputed,F
Austin Reaves,1630559,71.35,measured,G
Dorian Finney-Smith,1627827,91.11,measured,F
Shake Milton,1629003,84.07,measured,G
LeBron James,2544,,imputed,F
Alex Len,203458,,imputed,C
Rui Hachimura,1629060,,imputed,F
Jordan Goodwin,1630692,,imputed,G
Trey Jemison III,1641998,,imputed,C
Luka Dončić,1629029,,imputed,F-G
Markieff Morris,202693,,imputed,F
Isaiah Stevens,1641815,,imputed,G
Terry Rozier,1626179,84.77,measured,G
Nikola Jović,1631107,,imputed,F
Kel'el Ware,1642276,96.9,measured,C
Josh Christopher,1630528,85.56,measured,G
Pelle Larsson,1641796,86.95,measured,G
Jaime Jaquez Jr.,1631170,100.28,measured,G
Dru Smith,1630696,,imputed,G
Bam Adebayo,1628389,,imputed,C-F
Tyler Herro,1629639,,imputed,G
Keshad Johnson,1642352,92.79,measured,F
Alec Burks,202692,77.76,measured,G
Kyle Anderson,203937,,imputed,F-G
Andrew Wiggins,203952,,imputed,F
Haywood Highsmith,1629312,,imputed,F
Kevin Love,201567,97.69,measured,F-C
Davion Mitchell,1630558,,imputed,G
Duncan Robinson,1629130,,imputed,F
Damian Lillard,203081,87.03,measured,G
Jericho Sims,1630579,114.99,measured,C
Kevin Porter Jr.,1629645,79.55,measured,G-F
Gary Trent Jr.,1629018,,imputed,G
Chris Livingston,1641753,89.05,measured,F
Bobby Portis,1626171,83.85,measured,F
Brook Lopez,201572,93.36,measured,C
Taurean Prince,1627752,96.9,measured,F
Ryan Rollins,1631157,76.5,measured,G
Jamaree Bouyea,1631123,,imputed,G
Stanley Umude,1630649,,imputed,G
Kyle Kuzma,1628398,82.29,measured,F
AJ Green,1631260,,imputed,G
