player_name,position,ath__athleticism_score,ath__athleticism_source,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__team,pass__position,pass__minutes,pass__passer_rating,pass__passing_score,name_key,in_passing_file
Patrick Baldwin Jr.,F,76.41,measured,84,220.0,85.75,35.0,0.285714286,0.057142857,0.0,0.114285714,0.542857143,0.657142857,0.342857143,0.6,0.0,0.75,0.526315789,,,,,,patrick baldwin jr,False
RayJ Dennis,G,80.625,imputed,74,185.0,76.0,33.0,0.060606061,0.242424242,0.060606061,0.090909091,0.515151515,0.606060606,0.303030303,1.0,1.0,0.0,0.352941176,,,,,,rayj dennis,False
Riley Minix,F-G,85.83,imputed,79,210.0,83.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,riley minix,False
Ron Harper Jr.,G-F,84.81,measured,78,240.0,85.0,8.0,0.125,0.125,0.0,0.375,0.375,0.75,0.25,0.0,0.0,0.0,0.0,,,,,,ron harper jr,False
Saddiq Bey,G-F,84.81,imputed,79,215.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,saddiq bey,False
Seth Lundy,G-F,89.67,measured,78,220.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,seth lundy,False
Sidy Cissoko,G,90.48,measured,78,220.0,81.75,30.0,0.266666667,0.266666667,0.033333333,0.166666667,0.266666667,0.433333333,0.533333333,0.75,0.0,0.4,0.125,,,,,,sidy cissoko,False
Stanley Umude,G,80.625,imputed,78,210.0,82.0,26.0,0.115384615,0.192307692,0.115384615,0.384615385,0.192307692,0.576923077,0.307692308,0.666666667,0.0,0.2,0.2,,,,,,stanley umude,False
Taran Armstrong,G,80.625,imputed,78,195.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,taran armstrong,False
Taylor Hendricks,F,91.48,measured,81,215.0,84.5,18.0,0.111111111,0.166666667,0.055555556,0.388888889,0.277777778,0.666666667,0.277777778,0.5,0.0,0.428571429,0.0,,,,,,taylor hendricks,False
Terence Davis,G,78.72,measured,76,201.0,81.0,2.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,,,terence davis,False
Tolu Smith,F,85.83,imputed,83,245.0,86.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.0,0.0,,,,,,tolu smith,False
Tony Bradley,C-F,83.26,measured,82,248.0,89.0,45.0,0.688888889,0.222222222,0.022222222,0.066666667,0.0,0.066666667,0.911111111,0.64516129,1.0,0.333333333,0.0,,,,,,tony bradley,False
Trentyn Flowers,F,91.42,measured,81,200.0,83.0,11.0,0.454545455,0.272727273,0.090909091,0.090909091,0.090909091,0.181818182,0.727272727,0.4,0.0,0.0,0.0,,,,,,trentyn flowers,False
Trey Jemison III,C,93.27,imputed,84,260.0,90.0,74.0,0.648648649,0.324324324,0.027027027,0.0,0.0,0.0,0.972972973,0.6875,0.0,0.0,0.0,,,,,,trey jemison iii,False
Tristen Newton,G,69.94,measured,77,195.0,80.0,8.0,0.125,0.5,0.0,0.0,0.375,0.375,0.625,1.0,0.0,0.0,0.0,,,,,,tristen newton,False
Ulrich Chomche,C,89.61,measured,82,225.0,88.0,5.0,0.4,0.4,0.2,0.0,0.0,0.0,0.8,0.5,0.0,0.0,0.0,,,,,,ulrich chomche,False
Xavier Tillman,F,85.83,imputed,79,245.0,86.0,53.0,0.188679245,0.188679245,0.018867925,0.245283019,0.358490566,0.603773585,0.377358491,0.7,1.0,0.076923077,0.210526316,,,,,,xavier tillman,False
Yuki Kawamura,G,80.625,imputed,68,154.0,71.0,30.0,0.066666667,0.066666667,0.1,0.1,0.666666667,0.766666667,0.133333333,0.5,0.666666667,0.333333333,0.3,,,,,,yuki kawamura,False
Zyon Pullin,G,80.625,imputed,76,206.0,77.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,zyon pullin,False
